playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Aaron Francis,6.23,18.69,-39.12,3.49,6.98,-35.55,4.62,13.86,-7.58,1.93,7.72,-4.41,1.09,1.09,65.91,0.1,-0.3,-84.76,0.02,0.12,-85.4,0.05,0.05,-60.94,9.72,-37.89,6.48,-33.46,3.28,-32.84,0.19,-66.49,4.43,-0.02,0.0,-100.0,0.56,-62.21,78.42,-1.47,2.51,-19.47,146.99,-44.43,85.14,12.04,0.77,-45.7,1.0,1.01,0.0,-100.0,0.0,-100.0,48.26,-5.06,-25.11,48.21
Aaron Hall,26.0,78.0,154.06,4.0,8.0,-26.13,12.0,36.0,140.05,4.0,16.0,98.12,1.0,1.0,52.21,1.0,-3.0,52.44,0.0,0.0,-100.0,0.0,0.0,-100.0,30.0,91.71,19.0,95.09,10.0,104.75,1.0,76.37,11.0,148.25,2.0,208.17,3.0,102.43,66.7,-16.19,8.0,156.66,444.0,67.85,61.5,-19.07,3.0,111.57,1.0,1.01,2.0,76.68,2.0,99.8,136.0,-0.0,111.06,136.0
Adam Saad,10.94,32.82,6.9,4.38,8.76,-19.11,3.29,9.87,-34.19,2.96,11.84,46.61,0.09,0.09,-86.3,0.94,-2.82,43.29,0.0,0.0,-100.0,0.0,0.0,-100.0,15.31,-2.17,7.94,-18.47,4.4,-9.91,0.1,-82.36,3.18,-28.23,0.97,49.46,1.25,-15.65,91.53,15.01,3.32,6.51,302.78,14.46,88.45,16.39,1.17,-17.49,1.97,98.99,3.82,237.46,2.88,187.71,60.55,-15.8,-6.03,60.56
Adam Tomlinson,10.36,31.08,1.23,4.25,8.5,-21.51,4.71,14.13,-5.78,1.64,6.56,-18.77,0.81,0.81,23.29,0.98,-2.94,49.39,0.0,0.0,-100.0,0.0,0.0,-100.0,14.6,-6.7,7.85,-19.4,5.09,4.22,0.92,62.26,3.79,-14.47,0.02,-96.92,0.45,-69.64,78.14,-1.82,4.21,35.07,277.55,4.92,74.63,-1.79,1.41,-0.56,1.11,12.12,1.32,16.61,1.11,10.89,58.11,0.25,-9.82,58.14
Aidan Corr,8.83,26.49,-13.72,5.39,10.78,-0.46,4.5,13.5,-9.98,1.72,6.88,-14.81,0.64,0.64,-2.59,1.32,-3.96,101.22,0.0,0.0,-100.0,0.0,0.0,-100.0,14.21,-9.2,8.72,-10.46,5.14,5.24,0.64,12.87,3.86,-12.89,0.25,-61.48,0.75,-49.39,84.59,6.29,3.65,17.1,203.18,-23.19,79.69,4.86,1.32,-6.91,0.36,-63.64,0.93,-17.84,0.68,-32.07,54.4,-4.46,-15.58,54.33
Aiden Bonar,6.0,18.0,-41.37,1.0,2.0,-81.53,3.0,9.0,-39.99,1.0,4.0,-50.47,0.0,0.0,-100.0,1.0,-3.0,52.44,0.0,0.0,-100.0,0.0,0.0,-100.0,7.0,-55.27,6.0,-38.39,1.0,-79.52,0.0,-100.0,3.0,-32.3,0.0,-100.0,0.0,-100.0,71.4,-10.29,5.0,60.41,259.0,-2.09,66.7,-12.23,1.0,-29.48,0.0,-100.0,1.0,-11.66,0.0,-100.0,30.0,-0.0,-53.44,30.0
Alex Cincotta,7.33,21.99,-28.38,12.33,24.66,127.7,4.33,12.99,-13.38,2.33,9.32,15.4,0.33,0.33,-49.77,0.67,-2.01,2.13,0.33,1.98,140.88,0.0,0.0,-100.0,19.67,25.69,15.67,60.9,4.67,-4.38,0.33,-41.8,4.0,-9.73,0.67,3.24,2.67,80.16,82.1,3.16,1.0,-67.92,243.0,-8.14,73.8,-2.89,0.67,-52.75,1.33,34.34,0.0,-100.0,0.0,-100.0,69.33,-0.0,7.59,69.26
Alex Keath,6.15,18.45,-39.91,5.2,10.4,-3.97,5.77,17.31,15.42,1.49,5.96,-26.2,0.52,0.52,-20.85,0.57,-1.71,-13.11,0.01,0.06,-92.7,0.0,0.0,-100.0,11.35,-27.47,8.1,-16.83,4.17,-14.62,0.08,-85.89,5.69,28.41,0.02,-96.92,0.51,-65.59,93.64,17.66,0.72,-76.9,64.14,-75.75,96.04,26.38,2.76,94.64,1.5,51.52,0.0,-100.0,0.0,-100.0,50.94,-2.01,-20.95,50.99
Alex Pearce,6.87,20.61,-32.87,5.61,11.22,3.6,4.91,14.73,-1.78,1.84,7.36,-8.87,1.3,1.3,97.87,0.87,-2.61,32.62,0.07,0.42,-48.91,0.0,0.0,-100.0,12.48,-20.25,6.83,-29.87,5.72,17.12,0.81,42.86,4.1,-7.47,0.17,-73.81,0.58,-60.86,83.85,5.36,2.7,-13.38,171.94,-35.0,82.55,8.63,2.88,103.1,1.37,38.38,0.07,-93.82,0.0,-100.0,53.01,5.57,-17.73,53.03
Alex Witherden,20.0,60.0,95.43,4.0,8.0,-26.13,4.0,12.0,-19.98,4.0,16.0,98.12,1.0,1.0,52.21,2.0,-6.0,204.88,0.0,0.0,-100.0,0.0,0.0,-100.0,24.0,53.36,12.0,23.22,6.0,22.85,0.0,-100.0,4.0,-9.73,0.0,-100.0,1.0,-32.52,95.8,20.37,6.0,92.49,583.0,120.4,95.0,25.01,0.0,-100.0,2.0,102.02,8.0,606.71,6.0,499.4,91.0,-0.0,41.22,91.0
Aliir Aliir,11.29,33.87,10.32,3.76,7.52,-30.56,6.99,20.97,39.83,1.41,5.64,-30.16,1.04,1.04,58.3,1.12,-3.36,70.73,0.0,0.0,-100.0,0.0,0.0,-100.0,15.03,-3.96,9.17,-5.84,5.65,15.68,1.27,123.99,5.73,29.32,0.16,-75.35,0.85,-42.65,77.38,-2.77,3.25,4.27,249.63,-5.63,78.36,3.11,2.93,106.63,0.91,-8.08,0.0,-100.0,0.0,-100.0,65.66,9.33,1.9,65.68
Andrew McGrath,14.86,44.58,45.2,8.29,16.58,53.09,7.43,22.29,48.63,2.71,10.84,34.22,0.14,0.14,-78.69,0.14,-0.42,-78.66,0.0,0.0,-100.0,0.0,0.0,-100.0,23.14,47.87,15.14,55.46,5.0,2.38,0.0,-100.0,7.43,67.68,0.0,-100.0,2.57,73.41,93.23,17.14,3.0,-3.75,355.57,34.42,91.2,20.01,0.0,-100.0,0.86,-13.13,3.0,165.02,3.0,199.7,94.0,15.34,45.88,94.01
Angus Dewar,7.0,21.0,-31.6,0.0,0.0,-100.0,2.0,6.0,-59.99,3.0,12.0,48.59,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,7.0,-55.27,5.0,-48.66,2.0,-59.05,0.0,-100.0,2.0,-54.86,0.0,-100.0,0.0,-100.0,71.4,-10.29,3.0,-3.75,270.0,2.07,71.4,-6.04,0.0,-100.0,1.0,1.01,0.0,-100.0,0.0,-100.0,39.0,-0.0,-39.48,39.0
Atu Bosenavulagi,5.0,15.0,-51.14,1.0,2.0,-81.53,3.0,9.0,-39.99,5.0,20.0,147.65,0.0,0.0,-100.0,2.0,-6.0,204.88,0.0,0.0,-100.0,0.0,0.0,-100.0,6.0,-61.66,5.0,-48.66,1.0,-79.52,0.0,-100.0,3.0,-32.3,0.0,-100.0,1.0,-32.52,100.0,25.65,1.0,-67.92,97.0,-63.33,100.0,31.59,1.0,-29.48,0.0,-100.0,0.0,-100.0,0.0,-100.0,40.0,-0.0,-37.92,40.0
Bailey Scott,11.0,33.0,7.48,3.0,6.0,-44.6,1.0,3.0,-80.0,3.0,12.0,48.59,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,14.0,-10.54,4.0,-58.93,4.0,-18.1,0.0,-100.0,1.0,-77.43,0.0,-100.0,0.0,-100.0,92.9,16.73,7.0,124.57,417.0,57.64,90.9,19.62,0.0,-100.0,1.0,1.01,4.0,253.36,4.0,299.6,54.0,-0.0,-16.2,54.0
Ben McKay,7.8,23.4,-23.78,6.14,12.28,13.39,6.01,18.03,20.22,1.58,6.32,-21.74,0.86,0.86,30.9,0.6,-1.8,-8.54,0.0,0.0,-100.0,0.0,0.0,-100.0,13.93,-10.98,7.87,-19.19,6.02,23.26,1.58,178.66,4.42,-0.25,0.06,-90.76,0.38,-74.36,86.97,9.28,1.55,-50.27,127.83,-51.68,82.85,9.02,3.55,150.35,1.17,18.18,0.02,-98.23,0.0,-100.0,59.25,2.65,-8.05,59.09
