opponent,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,10.09,30.27,0.42,4.61,9.22,-2.12,5.38,16.14,2.91,1.67,6.68,4.64,0.55,0.55,-19.0,0.52,-1.56,-17.59,0.09,0.54,7.14,0.04,0.04,-38.46,14.7,-0.4,8.84,0.22,4.66,-1.15,0.86,9.0,4.53,1.98,0.37,-19.39,1.09,-6.92,75.16,0.59,3.55,5.75,267.1,4.82,72.53,-0.39,2.11,6.14,1.06,0.66,1.12,-13.45,1.08,-6.57,61.9,-1.01,1.18,61.88
Brisbane Lions,9.56,28.68,-4.86,4.75,9.5,0.85,4.55,13.65,-12.97,1.67,6.68,4.64,0.7,0.7,3.09,0.61,-1.83,-3.33,0.04,0.24,-52.38,0.06,0.06,-7.69,14.31,-3.04,8.08,-8.4,4.38,-7.09,0.65,-17.62,3.9,-12.2,0.47,2.4,0.9,-23.14,71.76,-3.96,3.99,18.86,262.47,3.0,69.3,-4.83,1.92,-3.42,0.81,-23.08,1.75,35.24,1.54,33.22,57.79,1.15,-5.54,57.68
Carlton,8.25,24.75,-17.89,4.13,8.26,-12.31,4.22,12.66,-19.28,1.78,7.12,11.53,0.55,0.55,-19.0,0.45,-1.35,-28.68,0.14,0.84,66.67,0.07,0.07,7.69,12.37,-16.19,6.78,-23.14,4.26,-9.63,0.88,11.53,3.33,-25.03,0.34,-25.93,0.88,-24.85,67.54,-9.61,3.04,-9.44,230.35,-9.6,65.87,-9.54,1.79,-9.96,0.82,-22.13,1.44,11.28,1.42,22.84,53.22,-0.46,-13.01,52.9
Collingwood,9.98,29.94,-0.68,4.27,8.54,-9.34,5.44,16.32,4.06,1.43,5.72,-10.4,0.56,0.56,-17.53,0.7,-2.1,10.94,0.07,0.42,-16.67,0.02,0.02,-69.23,14.26,-3.38,8.98,1.8,3.9,-17.27,0.73,-7.48,4.71,6.03,0.45,-1.96,1.24,5.89,75.32,0.81,2.86,-14.8,240.29,-5.7,75.21,3.29,1.93,-2.92,0.74,-29.72,1.22,-5.72,1.07,-7.44,59.6,5.14,-2.58,59.42
Essendon,10.06,30.18,0.12,5.39,10.78,14.44,5.07,15.21,-3.02,1.49,5.96,-6.64,0.55,0.55,-19.0,0.77,-2.31,22.03,0.12,0.72,42.86,0.04,0.04,-38.46,15.45,4.68,9.64,9.28,4.62,-1.99,0.58,-26.49,4.5,1.31,0.51,11.11,1.48,26.39,77.52,3.75,3.53,5.15,261.38,2.57,74.01,1.64,1.76,-11.47,1.07,1.61,1.17,-9.58,1.06,-8.3,61.69,4.59,0.84,61.13
Fremantle,10.4,31.2,3.5,4.37,8.74,-7.22,5.88,17.64,12.47,1.49,5.96,-6.64,0.54,0.54,-20.47,0.75,-2.25,18.86,0.11,0.66,30.95,0.04,0.04,-38.46,14.77,0.07,9.5,7.7,4.16,-11.75,0.77,-2.41,5.12,15.26,0.3,-34.64,1.04,-11.19,74.87,0.2,3.2,-4.68,239.72,-5.93,74.16,1.85,1.61,-19.01,0.89,-15.48,1.35,4.33,1.05,-9.17,62.67,1.1,2.44,62.53
GWS GIANTS,9.17,27.51,-8.74,4.7,9.4,-0.21,4.33,12.99,-17.18,1.31,5.24,-17.92,0.54,0.54,-20.47,0.48,-1.44,-23.93,0.08,0.48,-4.76,0.02,0.02,-69.23,13.88,-5.96,8.08,-8.4,4.68,-0.72,0.52,-34.09,3.81,-14.23,0.53,15.47,1.49,27.24,71.35,-4.51,3.01,-10.34,252.12,-1.06,69.29,-4.84,1.76,-11.47,1.02,-3.13,1.19,-8.04,1.1,-4.84,54.78,-3.42,-10.46,54.74
Geelong Cats,9.65,28.95,-3.96,4.59,9.18,-2.55,4.91,14.73,-6.08,1.51,6.04,-5.39,0.61,0.61,-10.16,0.41,-1.23,-35.02,0.07,0.42,-16.67,0.04,0.04,-38.46,14.25,-3.45,8.7,-1.37,4.76,0.98,0.75,-4.94,4.16,-6.35,0.68,48.15,1.01,-13.75,72.19,-3.38,3.12,-7.06,241.61,-5.18,68.5,-5.92,2.02,1.61,0.8,-24.03,1.09,-15.77,0.93,-19.55,58.75,2.51,-3.97,58.74
Gold Coast SUNS,10.21,30.63,1.61,5.47,10.94,16.14,4.72,14.16,-9.72,1.31,5.24,-17.92,0.8,0.8,17.82,0.61,-1.83,-3.33,0.16,0.96,90.48,0.13,0.13,100.0,15.68,6.24,8.84,0.22,5.47,16.04,0.89,12.8,3.83,-13.78,0.48,4.58,1.28,9.31,71.17,-4.75,3.42,1.88,273.56,7.35,67.88,-6.78,2.02,1.61,1.2,13.96,1.43,10.51,1.24,7.27,61.03,-0.31,-0.24,61.03
Hawthorn,10.05,30.15,0.02,4.27,8.54,-9.34,5.64,16.92,7.88,2.34,9.36,46.62,0.71,0.71,4.57,0.79,-2.37,25.2,0.13,0.78,54.76,0.09,0.09,38.46,14.32,-2.97,8.75,-0.8,4.5,-4.54,0.77,-2.41,4.88,9.86,0.47,2.4,1.21,3.33,80.08,7.18,3.31,-1.4,254.04,-0.31,80.03,9.91,2.02,1.61,1.03,-2.18,1.24,-4.17,1.09,-5.71,64.55,4.07,5.51,64.18
