team.name,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,8.6,25.8,-14.35,3.77,7.54,-20.03,4.46,13.38,-14.66,1.12,4.48,-29.74,0.81,0.81,19.29,0.81,-2.43,27.96,0.0,0.0,-100.0,0.04,0.04,-39.39,12.36,-16.23,7.04,-20.17,4.02,-14.74,0.59,-24.84,3.87,-12.88,0.26,-43.36,0.81,-30.83,71.64,-4.1,3.01,-10.18,221.34,-13.08,68.91,-5.34,1.73,-12.93,0.81,-23.08,1.64,26.93,1.26,9.38,49.6,6.19,-18.89,49.62
Brisbane Lions,9.21,27.63,-8.28,3.12,6.24,-33.81,6.52,19.56,24.76,1.28,5.12,-19.7,0.6,0.6,-11.63,0.57,-1.71,-9.95,0.04,0.24,-52.94,0.04,0.04,-39.39,12.33,-16.44,7.91,-10.31,4.22,-10.5,1.38,75.8,5.14,15.71,0.12,-73.86,0.69,-41.08,78.18,4.66,2.69,-19.73,170.33,-33.11,77.85,6.94,2.78,39.91,1.19,13.01,0.25,-80.65,0.13,-88.72,57.79,-5.49,-5.5,57.72
Carlton,10.41,31.23,3.67,3.58,7.16,-24.06,5.06,15.18,-3.18,1.53,6.12,-4.02,0.77,0.77,13.4,0.47,-1.41,-25.75,0.07,0.42,-17.65,0.08,0.08,21.21,13.99,-5.18,8.62,-2.26,4.34,-7.95,0.73,-7.01,4.33,-2.52,0.37,-19.39,1.14,-2.65,71.02,-4.93,3.63,8.33,249.78,-1.91,68.4,-6.04,1.8,-9.41,0.97,-7.88,1.19,-7.89,1.0,-13.19,59.66,-7.7,-2.44,59.55
Collingwood,10.02,30.06,-0.21,4.87,9.74,3.31,4.69,14.07,-10.26,1.7,6.8,6.65,0.45,0.45,-33.73,0.74,-2.22,16.9,0.11,0.66,29.41,0.06,0.06,-9.09,14.89,0.91,8.14,-7.7,4.63,-1.8,0.74,-5.73,3.96,-10.85,0.43,-6.32,1.58,34.93,80.48,7.73,4.03,20.26,294.94,15.82,78.76,8.19,1.84,-7.4,1.19,13.01,2.22,71.83,2.05,77.95,59.67,3.25,-2.43,59.62
Essendon,10.6,31.8,5.57,5.3,10.6,12.43,5.52,16.56,5.63,1.59,6.36,-0.25,0.63,0.63,-7.22,0.43,-1.29,-32.07,0.03,0.18,-64.71,0.08,0.08,21.21,15.9,7.76,10.44,18.38,4.4,-6.68,0.82,4.46,4.7,5.81,0.16,-65.14,1.34,14.43,76.9,2.94,2.9,-13.46,251.76,-1.14,75.12,3.19,2.27,14.24,1.0,-5.03,1.28,-0.93,1.13,-1.91,65.0,3.97,6.29,64.92
Fremantle,11.53,34.59,14.83,4.59,9.18,-2.63,6.0,18.0,14.81,1.73,6.92,8.53,0.79,0.79,16.35,0.59,-1.77,-6.79,0.02,0.12,-76.47,0.02,0.02,-69.7,16.12,9.25,9.74,10.44,4.52,-4.14,0.61,-22.29,5.39,21.34,0.21,-54.25,0.67,-42.78,79.05,5.82,4.11,22.65,287.08,12.73,77.06,5.86,1.86,-6.39,1.28,21.56,2.08,60.99,1.93,67.53,67.82,1.0,10.9,67.85
GWS GIANTS,7.53,22.59,-25.01,5.41,10.82,14.76,4.96,14.88,-5.09,1.89,7.56,18.57,0.86,0.86,26.66,0.66,-1.98,4.27,0.03,0.18,-64.71,0.0,0.0,-100.0,12.94,-12.3,7.24,-17.9,5.25,11.35,1.21,54.14,3.75,-15.58,0.1,-78.21,0.53,-54.74,76.61,2.55,2.83,-15.55,181.59,-28.69,76.23,4.72,2.5,25.82,1.13,7.31,0.31,-76.01,0.29,-74.83,54.97,-4.52,-10.11,54.91
Geelong Cats,9.29,27.87,-7.48,6.27,12.54,33.01,4.72,14.16,-9.68,1.77,7.08,11.04,0.62,0.62,-8.69,0.7,-2.1,10.58,0.14,0.84,64.71,0.1,0.1,51.52,15.56,5.46,8.47,-3.96,6.33,34.25,0.9,14.65,3.82,-14.0,1.22,165.8,1.42,21.26,71.47,-4.33,2.69,-19.73,246.81,-3.08,66.72,-8.35,1.71,-13.94,1.28,21.56,0.62,-52.01,0.6,-47.92,63.43,-0.74,3.72,61.11
Gold Coast SUNS,11.07,33.21,10.25,5.06,10.12,7.34,5.47,16.41,4.67,1.96,7.84,22.96,0.86,0.86,26.66,0.65,-1.95,2.69,0.08,0.48,-5.88,0.13,0.13,96.97,16.14,9.39,10.05,13.96,4.69,-0.53,0.74,-5.73,4.73,6.48,0.62,35.08,1.6,36.64,78.45,5.02,3.69,10.12,301.62,18.44,77.59,6.58,2.2,10.72,0.97,-7.88,1.42,9.91,1.38,19.79,67.38,9.63,10.18,67.1
Hawthorn,8.52,25.56,-15.15,4.47,8.94,-5.18,4.65,13.95,-11.02,1.28,5.12,-19.7,0.6,0.6,-11.63,0.55,-1.65,-13.11,0.16,0.96,88.24,0.13,0.13,96.97,12.99,-11.96,8.26,-6.34,3.88,-17.71,0.56,-28.66,4.09,-7.92,0.27,-41.18,1.33,13.58,65.95,-11.72,2.7,-19.43,226.67,-10.99,64.06,-12.0,1.51,-24.01,0.89,-15.48,0.85,-34.21,0.79,-31.42,53.65,-10.82,-12.27,53.61
