,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
St Kilda,Round 1,101.44,15.2,21.45,8.85,3.3,3.56,,-30.23,3.06,23.68,-28.91,-9.44,91.86
Essendon,Round 2,101.44,5.45,-3.86,-1.17,10.94,-8.32,,-37.98,-19.69,10.33,-7.67,-11.14,90.14
North Melbourne,Round 3,101.44,4.52,-1.03,-3.51,-3.12,-0.09,,186.82,20.11,-9.35,-18.08,-8.11,93.21
Gold Coast SUNS,Round 4,101.44,9.28,-7.24,3.57,16.04,-16.54,,101.55,18.69,3.3,7.5,-5.22,96.14
Geelong Cats,Round 5,101.44,2.42,-6.21,-4.54,-3.63,-6.79,,-30.23,-6.18,-37.46,-21.98,-5.65,95.71
GWS GIANTS,Round 6,101.44,-2.11,-16.18,-7.33,1.87,-17.15,,-61.24,-18.27,-10.05,-5.94,-13.25,88.0
Fremantle,Round 7,101.44,11.14,16.37,6.02,-5.66,-6.79,,-37.98,-16.84,23.68,-8.54,12.1,113.71
Carlton,Round 8,101.44,-5.1,-18.34,-16.66,-8.21,13.92,,-6.98,-16.13,5.41,17.47,-14.1,87.14
Port Adelaide,Round 9,101.44,2.02,-13.64,-3.95,-5.15,-13.19,,24.03,49.25,-0.91,18.34,-10.58,90.71
Collingwood,Round 10,101.44,5.04,3.2,0.15,-8.01,-7.1,,-68.99,-19.69,8.92,-7.24,26.39,128.21
West Coast Eagles,Round 11,101.44,16.68,10.07,5.67,10.23,20.32,,101.55,-21.82,-22.7,-11.57,18.01,119.71
Sydney Swans,Round 12,101.44,8.55,-2.54,3.62,3.2,-17.45,,-61.24,8.03,13.14,21.37,-21.27,79.86
Brisbane Lions,Round 13,101.44,6.25,-12.23,-4.74,6.05,5.7,,-6.98,0.92,-6.54,33.51,-8.88,92.43
Hawthorn,Round 14,101.44,10.03,7.24,-0.92,-11.98,44.68,,47.29,0.92,15.95,-5.5,-14.52,86.71
Richmond,Round 16,101.44,19.8,14.77,15.79,4.52,-8.62,,24.03,3.06,7.52,10.1,32.95,134.86
Melbourne,Round 17,101.44,2.7,3.01,-5.42,-5.77,-13.49,,-68.99,15.85,-10.05,-17.21,10.7,112.29
Western Bulldogs,Round 18,101.44,14.69,3.01,4.31,-2.81,23.97,,-37.98,20.11,4.01,30.91,17.31,119.0
Gold Coast SUNS,Round 19,101.44,9.28,-7.24,3.57,16.04,-16.54,,101.55,18.69,3.3,7.5,-5.22,96.14
Port Adelaide,Round 20,101.44,2.02,-13.64,-3.95,-5.15,-13.19,,24.03,49.25,-0.91,18.34,-10.58,90.71
Hawthorn,Round 21,101.44,10.03,7.24,-0.92,-11.98,44.68,,47.29,0.92,15.95,-5.5,-14.52,86.71
West Coast Eagles,Round 22,101.44,16.68,10.07,5.67,10.23,20.32,,101.55,-21.82,-22.7,-11.57,18.01,119.71
Collingwood,Round 23,101.44,5.04,3.2,0.15,-8.01,-7.1,,-68.99,-19.69,8.92,-7.24,26.39,128.21
North Melbourne,Round 24,101.44,4.52,-1.03,-3.51,-3.12,-0.09,,186.82,20.11,-9.35,-18.08,-8.11,93.21
