,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Geelong Cats,Opening Round,117.78,-3.78,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-0.3,117.43
Sydney Swans,Round 1,117.78,-0.42,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,1.04,119.0
West Coast Eagles,Round 2,117.78,10.05,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,0.79,118.71
Richmond,Round 4,117.78,12.53,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,11.22,131.0
Western Bulldogs,Round 5,117.78,5.66,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,5.28,124.0
Collingwood,Round 6,117.78,-0.48,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-19.94,94.29
St Kilda,Round 7,117.78,11.51,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,10.98,130.71
Gold Coast SUNS,Round 8,117.78,0.63,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,16.62,137.36
North Melbourne,Round 9,117.78,-0.96,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-18.86,95.57
Melbourne,Round 10,117.78,-2.58,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,14.99,135.43
Hawthorn,Round 11,117.78,5.01,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,7.34,126.43
Essendon,Round 12,117.78,-1.31,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,12.8,132.86
Adelaide Crows,Round 13,117.78,1.88,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,11.34,131.14
GWS GIANTS,Round 14,117.78,-9.7,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-10.31,105.64
Geelong Cats,Round 15,117.78,-3.78,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-0.3,117.43
Port Adelaide,Round 17,117.78,-7.04,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-25.65,87.57
Carlton,Round 18,117.78,-13.28,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-12.3,103.29
Western Bulldogs,Round 19,117.78,5.66,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,5.28,124.0
Gold Coast SUNS,Round 20,117.78,0.63,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,16.62,137.36
Collingwood,Round 21,117.78,-0.48,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-19.94,94.29
Sydney Swans,Round 22,117.78,-0.42,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,1.04,119.0
Fremantle,Round 23,117.78,6.77,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,15.47,136.0
Hawthorn,Round 24,117.78,5.01,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,7.34,126.43
