,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Richmond,Round 1,122.71,16.36,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,22.76,150.64
Hawthorn,Round 2,122.71,9.16,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,14.09,140.0
Western Bulldogs,Round 3,122.71,11.4,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-11.17,109.0
Collingwood,Round 4,122.71,2.77,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,13.57,139.36
West Coast Eagles,Round 5,122.71,13.4,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,2.33,125.57
North Melbourne,Round 6,122.71,2.71,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-3.37,118.57
Geelong Cats,Round 7,122.71,-0.66,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,3.15,126.57
Adelaide Crows,Round 8,122.71,5.46,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,14.61,140.64
St Kilda,Round 9,122.71,13.01,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,8.74,133.43
Sydney Swans,Round 10,122.71,4.57,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-4.07,117.71
GWS GIANTS,Round 11,122.71,-5.06,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-9.14,111.5
Essendon,Round 13,122.71,3.02,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-5.7,115.71
West Coast Eagles,Round 14,122.71,13.4,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,2.33,125.57
North Melbourne,Round 15,122.71,2.71,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-3.37,118.57
Port Adelaide,Round 16,122.71,-1.26,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-13.38,106.29
Collingwood,Round 17,122.71,2.77,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,13.57,139.36
Brisbane Lions,Round 18,122.71,2.03,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,14.2,140.14
Melbourne,Round 19,122.71,-0.02,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-22.58,95.0
Hawthorn,Round 20,122.71,9.16,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,14.09,140.0
Fremantle,Round 21,122.71,9.35,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,27.59,156.57
Gold Coast SUNS,Round 22,122.71,6.28,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,24.68,153.0
Port Adelaide,Round 23,122.71,-1.26,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-13.38,106.29
Essendon,Round 24,122.71,3.02,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-5.7,115.71
