,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,120.58,0.7,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-9.49,109.14
Port Adelaide,Round 1,120.58,4.96,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,10.54,133.29
Western Bulldogs,Round 2,120.58,18.27,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,13.38,136.71
Carlton,Round 4,120.58,-0.13,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,5.21,126.86
Sydney Swans,Round 5,120.58,10.75,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-8.06,110.86
Brisbane Lions,Round 6,120.58,9.75,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,1.42,122.29
Essendon,Round 7,120.58,8.79,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-0.12,120.43
Geelong Cats,Round 8,120.58,4.0,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-26.43,88.71
Fremantle,Round 9,120.58,13.81,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,4.25,125.71
Adelaide Crows,Round 10,120.58,10.89,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,26.89,153.0
North Melbourne,Round 11,120.58,7.49,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-13.87,103.86
Hawthorn,Round 12,120.58,14.14,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-14.34,103.29
Melbourne,Round 13,120.58,4.34,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-9.19,109.5
St Kilda,Round 15,120.58,16.19,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,-11.62,106.57
West Coast Eagles,Round 16,120.58,18.78,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,26.17,152.14
Carlton,Round 17,120.58,-0.13,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,5.21,126.86
Gold Coast SUNS,Round 18,120.58,12.98,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-3.56,116.29
Fremantle,Round 19,120.58,13.81,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,4.25,125.71
Richmond,Round 20,120.58,21.84,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-15.88,101.43
Brisbane Lions,Round 21,120.58,9.75,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,1.42,122.29
Hawthorn,Round 22,120.58,14.14,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-14.34,103.29
Adelaide Crows,Round 23,120.58,10.89,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,26.89,153.0
Melbourne,Round 24,120.58,4.34,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-9.19,109.5
