,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,134.2,6.81,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-1.74,131.86
Hawthorn,Round 1,134.2,8.24,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,7.3,144.0
Adelaide Crows,Round 2,134.2,5.45,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,7.52,144.29
Port Adelaide,Round 3,134.2,-1.12,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-14.52,114.71
Melbourne,Round 5,134.2,0.2,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,21.46,163.0
West Coast Eagles,Round 6,134.2,13.68,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,1.77,136.57
Collingwood,Round 7,134.2,2.92,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-22.56,103.93
North Melbourne,Round 8,134.2,2.36,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,1.98,136.86
Sydney Swans,Round 9,134.2,5.5,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-10.95,119.5
Western Bulldogs,Round 10,134.2,11.23,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,18.38,158.86
Richmond,Round 11,134.2,16.62,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,16.35,156.14
Brisbane Lions,Round 12,134.2,2.82,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,0.33,134.64
Carlton,Round 13,134.2,-7.1,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-34.53,87.86
Geelong Cats,Round 14,134.2,-0.57,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-24.52,101.29
Fremantle,Round 15,134.2,9.34,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-2.17,131.29
Gold Coast SUNS,Round 17,134.2,6.81,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-1.74,131.86
Richmond,Round 18,134.2,16.62,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,16.35,156.14
GWS GIANTS,Round 19,134.2,-4.4,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-1.42,132.29
Western Bulldogs,Round 20,134.2,11.23,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,18.38,158.86
Sydney Swans,Round 21,134.2,5.5,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-10.95,119.5
Geelong Cats,Round 22,134.2,-0.57,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-24.52,101.29
St Kilda,Round 23,134.2,13.48,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,14.54,153.71
Carlton,Round 24,134.2,-7.1,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-34.53,87.86
