,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Geelong Cats,Round 1,137.98,2.24,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,10.78,152.86
Sydney Swans,Round 2,137.98,9.52,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,12.65,155.43
West Coast Eagles,Round 3,137.98,16.75,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,-12.15,121.21
Western Bulldogs,Round 4,137.98,16.08,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-0.81,136.86
Richmond,Round 5,137.98,20.6,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,17.0,161.43
Melbourne,Round 6,137.98,3.15,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,2.91,142.0
Adelaide Crows,Round 7,137.98,8.8,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,6.85,147.43
St Kilda,Round 8,137.98,16.18,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,34.03,184.93
Collingwood,Round 9,137.98,6.28,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,30.45,180.0
GWS GIANTS,Round 10,137.98,-1.65,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-32.29,93.43
Port Adelaide,Round 11,137.98,2.77,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,4.36,144.0
Gold Coast SUNS,Round 12,137.98,9.61,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-34.05,91.0
North Melbourne,Round 14,137.98,4.94,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-18.73,112.14
Essendon,Round 15,137.98,6.25,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-21.42,108.43
St Kilda,Round 16,137.98,16.18,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,34.03,184.93
Sydney Swans,Round 17,137.98,9.52,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,12.65,155.43
Hawthorn,Round 18,137.98,11.94,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-3.4,133.29
Collingwood,Round 19,137.98,6.28,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,30.45,180.0
West Coast Eagles,Round 20,137.98,16.75,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,-12.15,121.21
Carlton,Round 21,137.98,-3.47,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-4.8,131.36
Port Adelaide,Round 22,137.98,2.77,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,4.36,144.0
Brisbane Lions,Round 23,137.98,7.04,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-11.79,121.71
Western Bulldogs,Round 24,137.98,16.08,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-0.81,136.86
