,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Collingwood,Opening Round,112.22,-1.0,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-22.6,86.86
Melbourne,Round 1,112.22,-2.59,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,0.44,112.71
Hawthorn,Round 3,112.22,6.4,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,4.89,117.71
West Coast Eagles,Round 4,112.22,11.77,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,26.8,142.29
St Kilda,Round 5,112.22,10.54,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,-19.8,90.0
Adelaide Crows,Round 6,112.22,2.64,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-1.6,110.43
Western Bulldogs,Round 7,112.22,7.44,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,17.37,131.71
Sydney Swans,Round 8,112.22,0.16,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,4.2,116.93
Geelong Cats,Round 9,112.22,-2.69,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-3.38,108.43
Fremantle,Round 10,112.22,5.04,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-10.95,99.93
Carlton,Round 11,112.22,-10.02,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-4.08,107.64
Richmond,Round 12,112.22,11.48,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-1.47,110.57
Port Adelaide,Round 13,112.22,-5.59,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-9.49,101.57
Brisbane Lions,Round 14,112.22,-1.1,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-9.11,102.0
Gold Coast SUNS,Round 15,112.22,2.48,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,29.84,145.71
West Coast Eagles,Round 17,112.22,11.77,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,26.8,142.29
Geelong Cats,Round 18,112.22,-2.69,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-3.38,108.43
Essendon,Round 19,112.22,0.31,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,22.34,137.29
Sydney Swans,Round 20,112.22,0.16,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,4.2,116.93
Western Bulldogs,Round 21,112.22,7.44,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,17.37,131.71
North Melbourne,Round 22,112.22,-0.16,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,9.1,122.43
Gold Coast SUNS,Round 23,112.22,2.48,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,29.84,145.71
St Kilda,Round 24,112.22,10.54,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,-19.8,90.0
