,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Essendon,Opening Round,135.09,4.13,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-16.14,113.29
West Coast Eagles,Round 1,135.09,14.54,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,-3.92,129.79
Melbourne,Round 3,135.09,0.57,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-32.96,90.57
Adelaide Crows,Round 4,135.09,6.31,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-1.23,133.43
North Melbourne,Round 5,135.09,3.59,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-6.57,126.21
Richmond,Round 6,135.09,16.97,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,7.97,145.86
Sydney Swans,Round 7,135.09,5.61,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,8.82,147.0
Brisbane Lions,Round 8,135.09,3.85,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-4.03,129.64
Western Bulldogs,Round 9,135.09,12.69,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,0.57,135.86
Hawthorn,Round 10,135.09,10.1,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,18.07,159.5
St Kilda,Round 11,135.09,13.31,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,36.63,184.57
Fremantle,Round 12,135.09,9.7,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-16.46,112.86
Geelong Cats,Round 13,135.09,0.08,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,14.0,154.0
GWS GIANTS,Round 15,135.09,-3.96,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-1.55,133.0
Melbourne,Round 16,135.09,0.57,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-32.96,90.57
Essendon,Round 17,135.09,4.13,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-16.14,113.29
Collingwood,Round 18,135.09,3.33,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-11.17,120.0
Adelaide Crows,Round 19,135.09,6.31,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-1.23,133.43
Brisbane Lions,Round 20,135.09,3.85,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-4.03,129.64
Richmond,Round 21,135.09,16.97,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,7.97,145.86
Carlton,Round 22,135.09,-5.5,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-24.92,101.43
GWS GIANTS,Round 23,135.09,-3.96,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-1.55,133.0
Port Adelaide,Round 24,135.09,-0.12,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,4.16,140.71
