,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Sydney Swans,Opening Round,113.77,2.59,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-28.3,81.57
Essendon,Round 1,113.77,3.21,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-10.47,101.86
Carlton,Round 2,113.77,-7.56,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-20.39,90.57
GWS GIANTS,Round 3,113.77,-5.27,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-2.31,111.14
Port Adelaide,Round 5,113.77,-2.53,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-23.78,86.71
Geelong Cats,Round 6,113.77,-1.03,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-7.83,104.86
West Coast Eagles,Round 7,113.77,13.03,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,16.15,132.14
Richmond,Round 8,113.77,14.61,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,8.37,123.29
Melbourne,Round 9,113.77,-0.75,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,5.48,120.0
Gold Coast SUNS,Round 10,113.77,6.87,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-7.77,104.93
Brisbane Lions,Round 11,113.77,0.93,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,0.83,114.71
Collingwood,Round 12,113.77,1.34,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,18.16,134.43
Western Bulldogs,Round 13,113.77,9.41,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,37.0,155.86
Adelaide Crows,Round 14,113.77,4.88,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,4.1,118.43
North Melbourne,Round 16,113.77,2.96,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,31.59,149.71
St Kilda,Round 17,113.77,11.4,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,24.87,142.07
Fremantle,Round 18,113.77,8.05,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-7.21,105.57
Port Adelaide,Round 19,113.77,-2.53,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-23.78,86.71
Carlton,Round 20,113.77,-7.56,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-20.39,90.57
Adelaide Crows,Round 21,113.77,4.88,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,4.1,118.43
Collingwood,Round 22,113.77,1.34,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,18.16,134.43
Melbourne,Round 23,113.77,-0.75,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,5.48,120.0
Brisbane Lions,Round 24,113.77,0.93,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,0.83,114.71
