,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
GWS GIANTS,Round 1,132.95,-0.33,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,11.97,148.86
North Melbourne,Round 2,132.95,6.3,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-11.24,118.0
Gold Coast SUNS,Round 3,132.95,11.42,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,1.01,134.29
Geelong Cats,Round 4,132.95,3.53,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,9.82,146.0
Essendon,Round 5,132.95,7.55,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,7.56,143.0
Fremantle,Round 6,132.95,14.52,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-13.77,114.64
Richmond,Round 7,132.95,22.73,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,23.68,164.43
West Coast Eagles,Round 8,132.95,17.75,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,-7.38,123.14
Hawthorn,Round 9,132.95,12.63,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-41.23,78.14
Brisbane Lions,Round 10,132.95,8.23,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-9.09,120.86
Sydney Swans,Round 11,132.95,11.23,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-6.84,123.86
St Kilda,Round 12,132.95,17.24,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,31.95,175.43
Collingwood,Round 13,132.95,7.82,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-3.45,128.36
Port Adelaide,Round 14,132.95,4.42,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-13.72,114.71
Gold Coast SUNS,Round 16,132.95,11.42,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,1.01,134.29
Adelaide Crows,Round 17,132.95,10.28,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-12.43,116.43
North Melbourne,Round 18,132.95,6.3,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-11.24,118.0
Carlton,Round 19,132.95,-2.61,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-3.94,127.71
St Kilda,Round 20,132.95,17.24,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,31.95,175.43
West Coast Eagles,Round 21,132.95,17.75,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,-7.38,123.14
Western Bulldogs,Round 22,132.95,17.46,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,0.31,133.36
Hawthorn,Round 23,132.95,12.63,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-41.23,78.14
Collingwood,Round 24,132.95,7.82,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-3.45,128.36
