,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Western Bulldogs,Round 1,134.34,5.93,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-9.19,122.0
Melbourne,Round 2,134.34,-3.66,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,28.14,172.14
Adelaide Crows,Round 3,134.34,2.48,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-21.62,105.29
Sydney Swans,Round 4,134.34,-2.34,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-2.06,131.57
Gold Coast SUNS,Round 5,134.34,5.42,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,4.64,140.57
Carlton,Round 6,134.34,-8.06,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-16.41,112.29
Port Adelaide,Round 7,134.34,-5.8,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,9.21,146.71
Essendon,Round 8,134.34,2.0,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,24.1,166.71
Brisbane Lions,Round 9,134.34,-2.01,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-20.25,107.14
Richmond,Round 10,134.34,9.5,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,20.49,161.86
Collingwood,Round 11,134.34,-2.07,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,10.38,148.29
West Coast Eagles,Round 13,134.34,10.67,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,14.63,154.0
Fremantle,Round 14,134.34,4.45,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-26.95,98.14
Carlton,Round 15,134.34,-8.06,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-16.41,112.29
Hawthorn,Round 16,134.34,6.82,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-13.44,116.29
Western Bulldogs,Round 17,134.34,5.93,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-9.19,122.0
Melbourne,Round 18,134.34,-3.66,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,28.14,172.14
Sydney Swans,Round 19,134.34,-2.34,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-2.06,131.57
Geelong Cats,Round 20,134.34,-3.29,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-18.81,109.07
St Kilda,Round 21,134.34,7.58,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,4.74,140.71
GWS GIANTS,Round 22,134.34,-7.07,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-33.65,89.14
Richmond,Round 23,134.34,9.5,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,20.49,161.86
Adelaide Crows,Round 24,134.34,2.48,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-21.62,105.29
