,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Collingwood,Round 1,137.11,3.73,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-16.02,115.14
Richmond,Round 2,137.11,17.37,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,2.47,140.5
Essendon,Round 3,137.11,4.42,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-7.01,127.5
St Kilda,Round 4,137.11,13.43,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,6.17,145.57
Hawthorn,Round 5,137.11,10.82,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,11.49,152.86
Sydney Swans,Round 6,137.11,5.66,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-20.09,109.57
North Melbourne,Round 7,137.11,4.15,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,0.96,138.43
Western Bulldogs,Round 8,137.11,13.17,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-15.5,115.86
Adelaide Crows,Round 9,137.11,6.85,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-22.27,106.57
Geelong Cats,Round 10,137.11,0.52,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-26.7,100.5
Fremantle,Round 11,137.11,10.19,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-2.06,134.29
GWS GIANTS,Round 13,137.11,-3.68,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,14.92,157.57
Melbourne,Round 14,137.11,0.88,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-7.89,126.29
Sydney Swans,Round 15,137.11,5.66,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-20.09,109.57
Carlton,Round 16,137.11,-5.1,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,6.17,145.57
Brisbane Lions,Round 17,137.11,3.94,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,3.05,141.29
West Coast Eagles,Round 18,137.11,14.83,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,3.35,141.71
Hawthorn,Round 19,137.11,10.82,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,11.49,152.86
Adelaide Crows,Round 20,137.11,6.85,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-22.27,106.57
Geelong Cats,Round 21,137.11,0.52,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-26.7,100.5
Fremantle,Round 22,137.11,10.19,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-2.06,134.29
Carlton,Round 23,137.11,-5.1,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,6.17,145.57
Gold Coast SUNS,Round 24,137.11,8.01,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,28.15,175.71
