,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Carlton,Round 1,128.19,-4.94,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-25.61,95.36
Port Adelaide,Round 2,128.19,0.21,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-0.43,127.64
St Kilda,Round 3,128.19,13.61,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,0.41,128.71
Brisbane Lions,Round 4,128.19,4.7,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-0.59,127.43
Fremantle,Round 5,128.19,9.94,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,4.76,134.29
Gold Coast SUNS,Round 6,128.19,7.88,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-8.18,117.71
Melbourne,Round 7,128.19,1.12,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,9.99,141.0
Hawthorn,Round 8,128.19,10.78,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,13.11,145.0
West Coast Eagles,Round 9,128.19,15.69,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,9.6,140.5
North Melbourne,Round 10,128.19,3.91,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-5.5,121.14
Essendon,Round 11,128.19,4.58,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-20.2,102.29
GWS GIANTS,Round 12,128.19,-3.3,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-2.71,124.71
Sydney Swans,Round 13,128.19,6.01,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-7.95,118.0
Western Bulldogs,Round 15,128.19,13.62,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,11.33,142.71
Adelaide Crows,Round 16,128.19,7.36,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,26.6,162.29
Geelong Cats,Round 17,128.19,1.19,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-7.72,118.29
Essendon,Round 18,128.19,4.58,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-20.2,102.29
West Coast Eagles,Round 19,128.19,15.69,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,9.6,140.5
Collingwood,Round 20,128.19,3.82,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,7.88,138.29
Gold Coast SUNS,Round 21,128.19,7.88,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-8.18,117.71
St Kilda,Round 22,128.19,13.61,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,0.41,128.71
North Melbourne,Round 23,128.19,3.91,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-5.5,121.14
Geelong Cats,Round 24,128.19,1.19,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-7.72,118.29
