,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Adelaide Crows,Round 1,139.48,6.52,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-18.88,113.14
Geelong Cats,Round 2,139.48,0.26,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,21.16,169.0
Richmond,Round 3,139.48,17.44,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,17.27,163.57
Port Adelaide,Round 4,139.48,0.21,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-1.78,137.0
GWS GIANTS,Round 5,139.48,-3.19,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,2.62,143.14
Western Bulldogs,Round 6,139.48,12.33,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-9.87,125.71
Brisbane Lions,Round 7,139.48,3.93,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-10.33,125.07
Fremantle,Round 8,139.48,10.13,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,10.41,154.0
Carlton,Round 9,139.48,-5.4,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-9.46,126.29
West Coast Eagles,Round 10,139.48,14.43,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,10.92,154.71
Gold Coast SUNS,Round 11,139.48,8.82,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-13.66,120.43
Melbourne,Round 12,139.48,0.68,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-29.23,98.71
Western Bulldogs,Round 14,139.48,12.33,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-9.87,125.71
Collingwood,Round 15,139.48,3.64,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-14.89,118.71
Fremantle,Round 16,139.48,10.13,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,10.41,154.0
Hawthorn,Round 17,139.48,9.51,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,-6.49,130.43
Sydney Swans,Round 18,139.48,6.05,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,18.3,165.0
Geelong Cats,Round 19,139.48,0.26,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,21.16,169.0
Melbourne,Round 20,139.48,0.68,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-29.23,98.71
North Melbourne,Round 21,139.48,3.93,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,46.16,203.86
Richmond,Round 22,139.48,17.44,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,17.27,163.57
Essendon,Round 23,139.48,5.03,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,1.4,141.43
GWS GIANTS,Round 24,139.48,-3.19,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,2.62,143.14
