,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Hawthorn,Opening Round,118.96,9.1,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,40.14,166.71
Brisbane Lions,Round 1,118.96,3.82,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-6.45,111.29
Fremantle,Round 2,118.96,10.19,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,34.62,160.14
North Melbourne,Round 4,118.96,3.66,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,3.51,123.14
Collingwood,Round 5,118.96,3.7,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,4.6,124.43
Port Adelaide,Round 6,118.96,-0.01,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-13.17,103.29
Gold Coast SUNS,Round 7,118.96,8.39,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,2.67,122.14
GWS GIANTS,Round 8,118.96,-3.34,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-15.82,100.14
Essendon,Round 9,118.96,4.78,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,0.45,119.5
Carlton,Round 10,118.96,-5.99,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-28.07,85.57
Melbourne,Round 11,118.96,0.96,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-1.05,117.71
Adelaide Crows,Round 12,118.96,6.64,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-18.34,97.14
Richmond,Round 13,118.96,17.66,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-16.66,99.14
Port Adelaide,Round 15,118.96,-0.01,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-13.17,103.29
Western Bulldogs,Round 16,118.96,12.26,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,-14.2,102.07
Fremantle,Round 17,118.96,10.19,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,34.62,160.14
St Kilda,Round 18,118.96,13.61,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,9.52,130.29
North Melbourne,Round 19,118.96,3.66,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,3.51,123.14
GWS GIANTS,Round 20,118.96,-3.34,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-15.82,100.14
Essendon,Round 21,118.96,4.78,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,0.45,119.5
Brisbane Lions,Round 22,118.96,3.82,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-6.45,111.29
Geelong Cats,Round 23,118.96,0.5,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-22.55,92.14
West Coast Eagles,Round 24,118.96,14.66,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,7.48,127.86
