,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,125.56,12.53,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,-18.42,102.43
Brisbane Lions,Round 2,125.56,9.55,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,-18.76,102.0
Fremantle,Round 3,125.56,15.4,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,10.87,139.21
GWS GIANTS,Round 4,125.56,0.59,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,1.6,127.57
Carlton,Round 5,125.56,-1.78,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-13.99,108.0
Essendon,Round 6,125.56,8.5,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,5.81,132.86
Hawthorn,Round 7,125.56,12.86,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,7.63,135.14
Melbourne,Round 8,125.56,5.44,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,6.83,134.14
Richmond,Round 9,125.56,23.87,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-29.17,88.93
St Kilda,Round 10,125.56,18.15,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,18.9,149.29
Adelaide Crows,Round 11,125.56,10.87,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,6.09,133.21
Geelong Cats,Round 12,125.56,4.03,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,-37.14,78.93
North Melbourne,Round 13,125.56,6.86,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,5.69,132.71
Carlton,Round 14,125.56,-1.78,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-13.99,108.0
Collingwood,Round 16,125.56,8.67,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-3.07,121.71
GWS GIANTS,Round 17,125.56,0.59,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,1.6,127.57
Port Adelaide,Round 18,125.56,5.56,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-21.26,98.86
Richmond,Round 19,125.56,23.87,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-29.17,88.93
Fremantle,Round 20,125.56,15.4,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,10.87,139.21
Melbourne,Round 21,125.56,5.44,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,6.83,134.14
Adelaide Crows,Round 22,125.56,10.87,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,6.09,133.21
Western Bulldogs,Round 23,125.56,18.39,3.01,4.31,-2.81,23.97,-28.57,-37.98,20.11,4.01,30.91,26.52,158.86
Sydney Swans,Round 24,125.56,12.75,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,-7.73,115.86
