,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
North Melbourne,Round 1,104.0,-1.4,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-6.05,97.71
Collingwood,Round 2,104.0,-1.18,3.2,0.15,-8.01,-7.1,-16.67,-68.99,-19.69,8.92,-7.24,-0.28,103.71
Carlton,Round 3,104.0,-13.74,-18.34,-16.66,-8.21,13.92,54.76,-6.98,-16.13,5.41,17.47,-17.31,86.0
Fremantle,Round 4,104.0,5.79,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-12.91,90.57
Brisbane Lions,Round 5,104.0,-4.31,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,19.78,124.57
St Kilda,Round 6,104.0,10.7,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,27.61,132.71
GWS GIANTS,Round 7,104.0,-9.52,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-27.82,75.07
Port Adelaide,Round 8,104.0,-7.03,-13.64,-3.95,-5.15,-13.19,-10.71,24.03,49.25,-0.91,18.34,-23.9,79.14
Gold Coast SUNS,Round 9,104.0,1.04,-7.24,3.57,16.04,-16.54,84.52,101.55,18.69,3.3,7.5,0.13,104.14
Essendon,Round 10,104.0,-1.31,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-6.18,97.57
Geelong Cats,Round 11,104.0,-4.0,-6.21,-4.54,-3.63,-6.79,-22.62,-30.23,-6.18,-37.46,-21.98,10.64,115.07
Hawthorn,Round 13,104.0,3.5,7.24,-0.92,-11.98,44.68,54.76,47.29,0.92,15.95,-5.5,11.74,116.21
St Kilda,Round 14,104.0,10.7,21.45,8.85,3.3,3.56,-58.33,-30.23,3.06,23.68,-28.91,27.61,132.71
Richmond,Round 15,104.0,12.08,14.77,15.79,4.52,-8.62,-40.48,24.03,3.06,7.52,10.1,-20.88,82.29
Sydney Swans,Round 16,104.0,-0.38,-2.54,3.62,3.2,-17.45,-88.1,-61.24,8.03,13.14,21.37,6.93,111.21
North Melbourne,Round 17,104.0,-1.4,-1.03,-3.51,-3.12,-0.09,78.57,186.82,20.11,-9.35,-18.08,-6.05,97.71
Adelaide Crows,Round 18,104.0,1.33,2.16,0.25,-1.89,3.26,7.14,-37.98,-21.11,-19.18,-6.81,-0.0,104.0
Brisbane Lions,Round 19,104.0,-4.31,-12.23,-4.74,6.05,5.7,-52.38,-6.98,0.92,-6.54,33.51,19.78,124.57
Essendon,Round 20,104.0,-1.31,-3.86,-1.17,10.94,-8.32,48.81,-37.98,-19.69,10.33,-7.67,-6.18,97.57
GWS GIANTS,Round 21,104.0,-9.52,-16.18,-7.33,1.87,-17.15,1.19,-61.24,-18.27,-10.05,-5.94,-27.82,75.07
Melbourne,Round 22,104.0,-3.01,3.01,-5.42,-5.77,-13.49,-10.71,-68.99,15.85,-10.05,-17.21,-32.14,70.57
West Coast Eagles,Round 23,104.0,9.62,10.07,5.67,10.23,20.32,-28.57,101.55,-21.82,-22.7,-11.57,12.37,116.86
Fremantle,Round 24,104.0,5.79,16.37,6.02,-5.66,-6.79,25.0,-37.98,-16.84,23.68,-8.54,-12.91,90.57
