opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.kickins W Mean,extendedStats.kickins,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon
Adelaide Crows,125.79,0.27,0.87,18.07,0.18,9.72,-0.81,10.86,2.16,1.72,7.43,9.14,1.23,20.51,0.25,9.63,-1.89,30.14,-0.45,3.39,3.26,0.76,-18.89,0.18,7.14,0.08,-37.98,1.11,-21.11,1.15,-19.18,2.19,-7.91,157.75,-2.1,7.22,4.85,545.38,4.98,152.38,-2.57,4.27,5.38,2.17,-0.28,2.25,-13.26,2.15,-6.81
Brisbane Lions,119.39,2.98,-4.26,16.92,-6.19,9.3,-5.09,9.33,-12.23,1.31,-18.18,8.03,-11.06,19.49,-4.74,10.41,6.05,29.9,-1.24,3.47,5.7,1.02,8.86,0.08,-52.38,0.12,-6.98,1.42,0.92,1.33,-6.54,1.85,-22.2,160.16,-0.61,8.01,16.32,536.07,3.18,151.69,-3.01,3.89,-4.0,1.68,-22.79,3.53,36.08,3.08,33.51
Carlton,109.31,0.69,-12.34,14.25,-21.0,9.24,-5.7,8.68,-18.34,1.78,11.18,6.89,-23.69,17.05,-16.66,9.01,-8.21,26.06,-13.93,3.74,13.92,0.72,-23.16,0.26,54.76,0.12,-6.98,1.18,-16.13,1.5,5.41,1.72,-27.67,161.84,0.43,6.53,-5.17,468.44,-9.83,153.14,-2.09,3.66,-9.67,1.73,-20.5,2.77,6.78,2.71,17.47
Collingwood,122.3,6.09,-1.93,18.36,1.79,8.29,-15.4,10.97,3.2,1.53,-4.43,9.45,4.66,20.49,0.15,9.03,-8.01,29.53,-2.46,3.05,-7.1,0.97,3.52,0.14,-16.67,0.04,-68.99,1.13,-19.69,1.55,8.92,2.55,7.23,161.9,0.47,5.96,-13.45,502.35,-3.31,161.69,3.38,3.95,-2.52,1.56,-28.31,2.45,-5.55,2.14,-7.24
Essendon,124.22,2.76,-0.39,19.38,7.45,9.35,-4.58,10.22,-3.86,1.17,-26.92,9.05,0.23,20.22,-1.17,10.89,10.94,31.1,2.72,3.01,-8.32,1.02,8.86,0.25,48.81,0.08,-37.98,1.13,-19.69,1.57,10.33,2.97,24.89,158.41,-1.69,7.07,2.67,524.88,1.03,151.01,-3.45,3.55,-12.39,2.17,-0.28,2.34,-9.79,2.13,-7.67
Fremantle,130.45,3.3,4.61,19.77,9.61,9.08,-7.34,12.37,16.37,1.66,3.69,10.71,18.62,21.69,6.02,9.26,-5.66,30.96,2.26,3.06,-6.79,0.63,-32.76,0.21,25.0,0.08,-37.98,1.17,-16.84,1.76,23.68,2.24,-5.8,168.0,4.26,6.65,-3.43,498.17,-4.11,165.58,5.87,3.48,-14.12,1.95,-10.39,2.74,5.63,2.11,-8.54
GWS GIANTS,112.88,-1.9,-9.48,16.94,-6.08,9.82,0.21,8.91,-16.18,1.12,-30.04,7.79,-13.72,18.96,-7.33,10.0,1.87,28.96,-4.35,2.72,-17.15,1.06,13.13,0.17,1.19,0.05,-61.24,1.15,-18.27,1.28,-10.05,3.09,29.94,162.26,0.69,6.49,-5.75,521.01,0.28,156.4,-0.0,3.7,-8.69,2.2,1.1,2.35,-9.41,2.17,-5.94
Geelong Cats,119.34,2.26,-4.3,17.7,-1.87,9.85,0.52,9.97,-6.21,1.58,-1.31,8.39,-7.08,19.53,-4.54,9.46,-3.63,28.99,-4.25,3.06,-6.79,1.38,47.28,0.13,-22.62,0.09,-30.23,1.32,-6.18,0.89,-37.46,2.1,-11.69,158.35,-1.73,6.4,-7.06,492.2,-5.26,150.44,-3.81,4.05,-0.05,1.58,-27.39,2.11,-18.66,1.8,-21.98
Gold Coast SUNS,126.39,0.8,1.35,18.3,1.46,11.47,17.05,9.86,-7.24,1.8,12.43,8.06,-10.73,21.19,3.57,11.39,16.04,32.6,7.68,2.74,-16.54,1.0,6.72,0.31,84.52,0.26,101.55,1.67,18.69,1.47,3.3,2.67,12.28,161.79,0.4,7.06,2.53,569.08,9.54,157.08,0.43,4.26,5.13,2.53,16.27,2.87,10.64,2.48,7.5
Hawthorn,130.29,2.87,4.48,17.72,-1.76,9.03,-7.85,11.4,7.24,1.55,-3.19,9.85,9.09,20.27,-0.92,8.64,-11.98,28.9,-4.54,4.75,44.68,0.93,-0.75,0.26,54.76,0.19,47.29,1.42,0.92,1.65,15.95,2.42,1.77,164.56,2.12,6.67,-3.14,512.79,-1.3,164.18,4.97,4.05,-0.05,2.07,-4.87,2.48,-4.39,2.18,-5.5
