team.name,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.kickins W Mean,extendedStats.kickins,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon
Adelaide Crows,101.44,5.24,-18.65,14.46,-19.83,8.58,-12.44,8.9,-16.27,1.17,-26.92,7.73,-14.38,17.23,-15.78,8.41,-14.33,25.64,-15.32,2.41,-26.57,0.61,-34.83,0.0,-100.0,0.09,-30.23,1.64,16.48,1.71,20.17,1.64,-31.01,163.13,1.23,6.19,-10.11,446.97,-13.97,154.54,-1.19,3.39,-16.34,1.72,-20.92,3.37,29.92,2.53,9.71
Brisbane Lions,117.78,-4.54,-5.55,16.09,-10.79,8.85,-9.68,13.22,24.38,2.85,78.01,10.38,14.98,18.89,-7.67,6.4,-34.81,25.29,-16.48,2.68,-18.34,0.27,-71.15,0.08,-52.38,0.08,-37.98,1.27,-9.8,1.33,-6.54,1.45,-39.0,164.69,2.2,5.58,-18.97,348.73,-32.88,163.54,4.57,5.68,40.18,2.42,11.26,0.5,-80.72,0.25,-89.16
Carlton,122.71,-6.48,-1.6,17.9,-0.76,9.05,-7.64,10.22,-3.85,1.45,-9.43,8.76,-2.97,21.33,4.26,7.69,-21.67,29.01,-4.19,3.32,1.16,0.75,-19.87,0.15,-10.71,0.15,16.28,1.65,17.19,1.16,-18.48,2.36,-0.72,156.87,-2.65,7.6,10.37,510.12,-1.81,149.07,-4.69,3.63,-10.41,2.09,-3.91,2.38,-8.25,2.0,-13.27
Collingwood,120.58,2.93,-3.31,16.4,-9.08,9.47,-3.36,9.51,-10.53,1.52,-5.06,7.99,-11.5,20.26,-0.97,9.85,0.34,30.11,-0.56,3.42,4.2,0.86,-8.12,0.23,36.9,0.12,-6.98,0.99,-29.69,1.55,8.92,3.21,35.04,165.78,2.88,8.19,18.94,596.94,14.9,162.29,3.77,3.75,-7.45,2.4,10.34,4.47,72.32,4.15,79.97
Essendon,134.2,4.63,7.62,21.71,20.36,9.34,-4.68,11.33,6.6,1.65,3.06,9.68,7.22,21.79,6.51,11.34,15.51,33.13,9.42,3.25,-0.98,0.32,-65.81,0.06,-64.29,0.15,16.28,1.37,-2.7,0.95,-33.24,2.72,14.43,168.57,4.61,5.98,-13.16,520.56,0.2,164.36,5.09,4.6,13.52,2.08,-4.37,2.57,-0.93,2.26,-1.99
Fremantle,137.98,1.75,10.65,19.86,10.11,9.38,-4.28,12.13,14.12,1.24,-22.55,10.9,20.74,23.38,14.28,9.49,-3.33,32.88,8.59,3.58,9.08,0.43,-54.06,0.03,-82.14,0.03,-76.74,1.62,15.06,1.26,-11.45,1.39,-41.52,165.92,2.96,8.39,21.84,583.54,12.32,163.69,4.66,3.83,-5.48,2.56,17.7,4.15,59.98,3.86,67.39
GWS GIANTS,112.22,-5.25,-10.01,14.86,-17.61,10.84,10.62,10.1,-4.98,2.43,51.78,7.67,-15.04,15.41,-24.68,11.19,13.99,26.61,-12.12,3.92,19.44,0.23,-75.43,0.06,-64.29,0.01,-92.25,1.78,26.42,1.53,7.52,1.06,-55.41,164.29,1.95,5.76,-16.35,371.66,-28.46,160.42,2.57,5.0,23.4,2.3,5.75,0.63,-75.71,0.59,-74.41
Geelong Cats,128.28,-0.23,2.87,17.14,-4.97,12.99,32.56,9.46,-11.0,1.82,13.68,7.65,-15.26,18.77,-8.26,12.88,31.2,31.65,4.53,3.6,9.69,2.46,162.82,0.28,66.67,0.19,47.29,1.3,-7.67,1.46,2.6,2.84,19.48,152.08,-5.62,5.52,-19.84,500.6,-3.64,143.02,-8.55,3.45,-14.86,2.63,20.92,1.24,-52.2,1.2,-47.96
Gold Coast SUNS,135.09,8.7,8.33,20.13,11.6,9.44,-3.66,10.97,3.21,1.48,-7.56,9.49,5.12,22.18,8.41,10.19,3.8,32.38,6.94,3.93,19.74,1.23,31.41,0.16,-4.76,0.26,101.55,1.72,22.16,1.32,-7.24,3.21,35.04,158.0,-1.95,7.41,7.61,604.0,16.26,155.75,-0.42,4.41,8.84,1.96,-9.89,2.85,9.87,2.76,19.69
Hawthorn,113.77,-7.96,-8.77,17.3,-4.09,9.15,-6.62,9.65,-9.21,1.22,-23.8,8.42,-6.73,18.06,-11.73,10.1,2.88,28.16,-7.0,2.91,-11.33,0.64,-31.62,0.31,84.52,0.24,86.05,1.25,-11.22,1.56,9.63,2.65,11.49,162.12,0.61,5.72,-16.93,482.37,-7.15,152.9,-2.24,3.31,-18.31,1.95,-10.34,1.64,-36.78,1.52,-34.08
Melbourne,132.95,9.41,6.61,17.62,-2.31,9.72,-0.81,12.18,14.59,1.91,19.3,10.26,13.65,24.0,17.31,7.98,-18.71,31.99,5.65,2.74,-16.51,0.31,-66.88,0.1,-40.48,0.01,-92.25,1.45,2.98,1.52,6.82,1.77,-25.54,161.04,-0.06,9.57,38.98,620.36,19.41,161.41,3.2,4.91,21.17,2.43,11.72,5.25,102.39,4.3,86.47
North Melbourne,134.34,6.1,7.73,20.38,12.99,13.23,35.01,9.39,-11.66,1.32,-17.55,8.06,-10.72,18.89,-7.67,15.32,56.06,34.21,12.98,4.65,41.68,2.99,219.44,0.68,304.76,0.13,0.78,1.35,-4.12,1.83,28.6,3.66,53.98,155.98,-3.2,4.82,-30.0,461.76,-11.12,145.52,-6.96,2.83,-30.16,1.69,-22.3,0.77,-70.32,0.62,-73.11
Port Adelaide,137.11,6.32,9.95,19.58,8.55,10.05,2.56,10.84,1.99,1.5,-6.31,9.35,3.57,23.72,15.94,9.15,-6.79,32.88,8.59,4.08,24.31,1.46,55.98,0.24,42.86,0.2,55.04,1.73,22.87,1.55,8.92,3.55,49.35,157.61,-2.19,6.79,-1.39,625.75,20.44,155.41,-0.63,3.49,-13.87,2.48,14.02,2.98,14.88,2.81,21.86
Richmond,128.19,1.63,2.8,19.56,8.44,8.84,-9.79,10.28,-3.28,1.02,-36.29,9.26,2.57,21.66,5.87,9.81,-0.07,31.48,3.97,4.08,24.31,0.53,-43.38,0.15,-10.71,0.05,-61.24,1.3,-7.67,1.96,37.74,2.25,-5.34,154.2,-4.31,8.29,20.39,602.4,15.95,147.8,-5.5,3.04,-24.98,1.78,-18.16,2.96,14.11,2.72,17.95
St Kilda,139.48,-1.42,11.85,22.7,25.85,9.94,1.44,10.42,-1.97,0.72,-55.03,9.71,7.55,24.17,18.14,11.31,15.21,35.48,17.18,3.42,4.2,2.03,116.88,0.25,48.81,0.27,109.3,1.15,-18.32,1.19,-16.37,3.35,40.93,159.13,-1.25,6.67,-3.14,584.54,12.51,150.04,-4.07,2.25,-44.47,1.95,-10.34,3.11,19.89,2.8,21.42
Sydney Swans,118.96,2.07,-4.6,18.39,1.96,8.94,-8.77,9.76,-8.18,1.11,-30.67,8.65,-4.19,20.26,-0.97,9.77,-0.48,30.03,-0.82,2.77,-15.6,0.95,1.5,0.16,-4.76,0.16,24.03,1.04,-26.14,1.31,-7.94,2.51,5.6,157.71,-2.13,7.24,5.14,532.03,2.41,154.87,-0.98,3.59,-11.4,2.12,-2.53,2.66,2.54,2.37,2.78
West Coast Eagles,125.56,3.99,0.69,15.65,-13.23,10.22,4.3,11.95,12.43,2.54,58.65,9.4,4.12,21.77,6.41,8.5,-13.42,30.28,0.0,2.24,-31.75,0.48,-48.72,0.04,-76.19,0.08,-37.98,1.43,1.56,1.17,-17.78,1.43,-39.84,170.94,6.08,9.18,33.31,585.44,12.69,171.78,9.83,6.02,48.57,2.13,-2.07,4.89,88.51,4.5,95.14
Western Bulldogs,104.0,6.68,-16.6,14.93,-17.23,8.35,-14.79,11.01,3.58,1.87,16.8,9.14,1.24,16.49,-19.4,7.33,-25.33,23.82,-21.33,2.07,-36.93,0.29,-69.02,0.05,-70.24,0.11,-14.73,1.3,-7.67,1.26,-11.45,1.74,-26.8,162.53,0.86,5.05,-26.66,373.84,-28.04,158.79,1.53,5.75,41.91,2.46,13.1,0.27,-89.59,0.27,-88.29
League Average,124.702,0.0,0.0,18.037,0.0,9.799,0.0,10.629,0.0,1.601,0.0,9.028,0.0,20.459,0.0,9.817,0.0,30.279,0.0,3.282,0.0,0.936,0.0,0.168,0.0,0.129,0.0,1.408,0.0,1.423,0.0,2.377,0.0,161.144,0.0,6.886,0.0,519.534,0.0,156.4,0.0,4.052,0.0,2.175,0.0,2.594,0.0,2.306,0.0
