,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.06,85.23,10.88,99.29
Essendon,Round 2,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,2.05,87.74,5.61,94.57
North Melbourne,Round 3,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.07,88.6,17.49,105.21
Gold Coast SUNS,Round 4,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.31,87.52,7.84,96.57
Geelong Cats,Round 5,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.05,97.38,11.4,99.76
GWS GIANTS,Round 6,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.48,88.23,3.0,92.24
Fremantle,Round 7,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.63,87.25,-0.98,88.67
Carlton,Round 8,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.92,87.86,-3.17,86.71
Port Adelaide,Round 9,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.23,83.5,7.95,96.67
Collingwood,Round 10,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.57,90.96,-2.61,87.21
West Coast Eagles,Round 11,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.61,96.92,-9.84,80.74
Sydney Swans,Round 12,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.18,88.49,10.28,98.76
Brisbane Lions,Round 13,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.18,85.13,6.14,95.05
Hawthorn,Round 14,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.55,84.03,-8.59,81.86
Richmond,Round 16,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.53,100.08,-14.65,76.43
Melbourne,Round 17,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.47,93.73,2.62,91.9
Western Bulldogs,Round 18,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.27,87.55,5.55,94.52
Gold Coast SUNS,Round 19,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.31,87.52,7.84,96.57
Port Adelaide,Round 20,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.23,83.5,7.95,96.67
Hawthorn,Round 21,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.55,84.03,-8.59,81.86
West Coast Eagles,Round 22,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.61,96.92,-9.84,80.74
Collingwood,Round 23,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.57,90.96,-2.61,87.21
North Melbourne,Round 24,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.07,88.6,17.49,105.21
