,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.18,101.61,-9.67,85.24
Sydney Swans,Round 1,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.07,93.31,-6.2,88.52
West Coast Eagles,Round 2,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.92,102.42,10.91,104.67
Richmond,Round 4,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.22,106.23,2.59,96.81
Western Bulldogs,Round 5,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.06,92.4,-3.37,91.19
Collingwood,Round 6,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.85,96.09,-5.38,89.29
St Kilda,Round 7,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.88,89.92,-14.11,81.05
Gold Coast SUNS,Round 8,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.04,92.43,6.29,100.31
North Melbourne,Round 9,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.69,93.67,10.0,103.81
Melbourne,Round 10,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.18,99.47,-6.2,88.52
Hawthorn,Round 11,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.34,87.86,-3.42,91.14
Essendon,Round 12,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.23,93.16,11.37,105.1
Adelaide Crows,Round 13,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.47,95.72,-9.02,85.86
GWS GIANTS,Round 14,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.68,92.75,-10.81,84.17
Geelong Cats,Round 15,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.18,101.61,-9.67,85.24
Port Adelaide,Round 17,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.9,86.6,3.3,97.48
Carlton,Round 18,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.02,92.44,-0.94,93.48
Western Bulldogs,Round 19,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.06,92.4,-3.37,91.19
Gold Coast SUNS,Round 20,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.04,92.43,6.29,100.31
Collingwood,Round 21,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.85,96.09,-5.38,89.29
Sydney Swans,Round 22,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.07,93.31,-6.2,88.52
Fremantle,Round 23,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.64,91.88,3.79,97.95
Hawthorn,Round 24,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.34,87.86,-3.42,91.14
