,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Richmond,Round 1,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.32,104.08,2.47,96.0
Hawthorn,Round 2,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.42,87.71,-4.4,89.57
Western Bulldogs,Round 3,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.2,91.33,-1.14,92.62
Collingwood,Round 4,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.66,94.92,-2.89,90.98
West Coast Eagles,Round 5,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.92,101.37,15.88,108.57
North Melbourne,Round 6,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.83,92.57,-3.07,90.81
Geelong Cats,Round 7,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.38,101.88,6.84,100.1
Adelaide Crows,Round 8,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.86,95.11,9.71,102.79
St Kilda,Round 9,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.96,88.93,21.62,113.95
Sydney Swans,Round 10,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.51,91.95,-9.38,84.9
GWS GIANTS,Round 11,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,0.89,92.51,-3.74,90.19
Essendon,Round 13,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,2.31,91.24,-30.07,65.52
West Coast Eagles,Round 14,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.92,101.37,15.88,108.57
North Melbourne,Round 15,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.83,92.57,-3.07,90.81
Port Adelaide,Round 16,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,6.45,87.69,-13.4,81.14
Collingwood,Round 17,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.66,94.92,-2.89,90.98
Brisbane Lions,Round 18,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.57,88.41,-15.37,79.29
Melbourne,Round 19,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.3,97.54,18.58,111.1
Hawthorn,Round 20,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.42,87.71,-4.4,89.57
Fremantle,Round 21,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.91,90.7,-1.38,92.4
Gold Coast SUNS,Round 22,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.63,90.95,1.29,94.9
Port Adelaide,Round 23,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,6.45,87.69,-13.4,81.14
Essendon,Round 24,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,2.31,91.24,-30.07,65.52
