,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.44,81.67,-2.14,81.1
Port Adelaide,Round 1,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.9,76.78,-8.92,75.48
Western Bulldogs,Round 2,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.26,81.01,5.61,87.52
Carlton,Round 4,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.88,81.31,2.57,85.0
Sydney Swans,Round 5,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.22,81.84,-11.16,73.62
Brisbane Lions,Round 6,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.91,78.22,-4.67,79.0
Essendon,Round 7,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.83,81.35,0.45,83.24
Geelong Cats,Round 8,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.95,90.0,-2.2,81.05
Fremantle,Round 9,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.73,80.64,6.36,88.14
Adelaide Crows,Round 10,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.1,84.62,15.76,95.93
North Melbourne,Round 11,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.66,82.3,6.77,88.48
Hawthorn,Round 12,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.0,77.42,-15.41,70.1
Melbourne,Round 13,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.88,87.09,19.3,98.86
St Kilda,Round 15,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.02,78.88,-15.93,69.67
West Coast Eagles,Round 16,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.84,89.89,31.7,109.14
Carlton,Round 17,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.88,81.31,2.57,85.0
Gold Coast SUNS,Round 18,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.51,80.81,11.71,92.57
Fremantle,Round 19,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.73,80.64,6.36,88.14
Richmond,Round 20,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.86,92.94,11.6,92.48
Brisbane Lions,Round 21,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.91,78.22,-4.67,79.0
Hawthorn,Round 22,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.0,77.42,-15.41,70.1
Adelaide Crows,Round 23,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.1,84.62,15.76,95.93
Melbourne,Round 24,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.88,87.09,19.3,98.86
