,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,1.92,91.89,6.6,100.19
Hawthorn,Round 1,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.93,87.59,5.94,99.57
Adelaide Crows,Round 2,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.02,95.6,9.18,102.62
Port Adelaide,Round 3,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.96,86.76,-7.62,86.83
Melbourne,Round 5,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.71,98.29,-1.31,92.76
West Coast Eagles,Round 6,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.6,101.36,7.66,101.19
Collingwood,Round 7,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.69,95.27,4.78,98.48
North Melbourne,Round 8,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.97,92.76,-3.73,90.48
Sydney Swans,Round 9,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.08,92.66,2.74,96.57
Western Bulldogs,Round 10,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.16,91.68,-20.81,74.43
Richmond,Round 11,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.7,104.89,-1.4,92.67
Brisbane Lions,Round 12,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.13,89.09,1.15,95.07
Carlton,Round 13,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.85,91.96,-8.04,86.43
Geelong Cats,Round 14,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.58,101.34,5.68,99.33
Fremantle,Round 15,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.59,91.3,6.14,99.76
Gold Coast SUNS,Round 17,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,1.92,91.89,6.6,100.19
Richmond,Round 18,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.7,104.89,-1.4,92.67
GWS GIANTS,Round 19,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.7,92.1,-13.97,80.86
Western Bulldogs,Round 20,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.16,91.68,-20.81,74.43
Sydney Swans,Round 21,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.08,92.66,2.74,96.57
Geelong Cats,Round 22,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.58,101.34,5.68,99.33
St Kilda,Round 23,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.01,89.19,-11.95,82.76
Carlton,Round 24,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.85,91.96,-8.04,86.43
