,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.93,102.63,-5.46,89.43
Sydney Swans,Round 2,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.38,93.2,-13.11,82.19
West Coast Eagles,Round 3,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.81,102.49,-1.5,93.17
Western Bulldogs,Round 4,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.94,92.69,-1.99,92.71
Richmond,Round 5,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.41,105.47,15.84,109.57
Melbourne,Round 6,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.63,99.07,5.26,99.57
Adelaide Crows,Round 7,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.67,96.09,-5.36,89.52
St Kilda,Round 8,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.97,90.02,-5.4,89.48
Collingwood,Round 9,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.91,96.33,5.72,100.0
GWS GIANTS,Round 10,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,0.82,93.72,0.84,95.38
Port Adelaide,Round 11,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.05,88.26,-9.79,85.33
Gold Coast SUNS,Round 12,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.27,92.39,-9.13,85.95
North Melbourne,Round 14,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.9,93.65,1.09,95.62
Essendon,Round 15,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.92,92.71,-0.12,94.48
St Kilda,Round 16,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.97,90.02,-5.4,89.48
Sydney Swans,Round 17,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.38,93.2,-13.11,82.19
Hawthorn,Round 18,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.89,88.4,2.6,97.05
Collingwood,Round 19,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.91,96.33,5.72,100.0
West Coast Eagles,Round 20,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.81,102.49,-1.5,93.17
Carlton,Round 21,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.51,92.18,-6.13,88.79
Port Adelaide,Round 22,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.05,88.26,-9.79,85.33
Brisbane Lions,Round 23,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.44,89.61,20.83,114.29
Western Bulldogs,Round 24,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.94,92.69,-1.99,92.71
