,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.9,89.23,15.42,101.05
Melbourne,Round 1,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.83,91.97,14.0,99.81
Hawthorn,Round 3,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.1,81.73,-10.42,78.43
West Coast Eagles,Round 4,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.83,94.97,12.75,98.71
St Kilda,Round 5,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.96,83.39,-1.22,86.48
Adelaide Crows,Round 6,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.66,89.01,-0.57,87.05
Western Bulldogs,Round 7,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.89,85.91,5.99,92.79
Sydney Swans,Round 8,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.31,86.4,3.02,90.19
Geelong Cats,Round 9,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.88,95.02,-16.89,72.76
Fremantle,Round 10,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.89,85.07,1.58,88.93
Carlton,Round 11,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.43,85.45,4.1,91.14
Richmond,Round 12,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.58,97.89,2.52,89.76
Port Adelaide,Round 13,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.47,81.45,-8.78,79.86
Brisbane Lions,Round 14,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.52,82.95,8.32,94.83
Gold Coast SUNS,Round 15,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.29,85.57,2.58,89.81
West Coast Eagles,Round 17,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.83,94.97,12.75,98.71
Geelong Cats,Round 18,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.88,95.02,-16.89,72.76
Essendon,Round 19,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.74,86.03,-10.79,78.1
Sydney Swans,Round 20,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.31,86.4,3.02,90.19
Western Bulldogs,Round 21,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.89,85.91,5.99,92.79
North Melbourne,Round 22,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.95,86.71,16.5,102.0
Gold Coast SUNS,Round 23,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.29,85.57,2.58,89.81
St Kilda,Round 24,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.96,83.39,-1.22,86.48
