,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.22,72.85,4.85,81.05
Fremantle,Round 1,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.42,74.84,-4.02,74.19
St Kilda,Round 2,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.23,72.84,-4.51,73.81
Melbourne,Round 4,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.0,80.69,5.9,81.86
Adelaide Crows,Round 5,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.14,78.32,1.4,78.38
Hawthorn,Round 6,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.8,71.77,-8.77,70.52
Carlton,Round 7,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.68,75.38,2.26,79.05
Collingwood,Round 8,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.62,77.91,6.33,82.19
GWS GIANTS,Round 9,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.63,75.42,3.36,79.9
Port Adelaide,Round 10,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.21,70.84,-5.47,73.07
Western Bulldogs,Round 11,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.32,74.91,5.95,81.9
West Coast Eagles,Round 12,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.4,82.77,6.35,82.21
Gold Coast SUNS,Round 13,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.64,74.68,-5.63,72.95
Essendon,Round 14,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.77,75.32,11.63,86.29
Brisbane Lions,Round 15,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.22,72.85,4.85,81.05
Richmond,Round 17,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.01,86.13,23.39,95.38
GWS GIANTS,Round 18,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.63,75.42,3.36,79.9
St Kilda,Round 19,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.23,72.84,-4.51,73.81
North Melbourne,Round 20,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.26,75.7,5.81,81.79
Port Adelaide,Round 21,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.21,70.84,-5.47,73.07
Essendon,Round 22,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.77,75.32,11.63,86.29
Sydney Swans,Round 23,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,0.84,76.01,-4.94,73.48
Richmond,Round 24,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.01,86.13,23.39,95.38
