,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Essendon,Opening Round,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.52,90.8,-2.03,90.67
West Coast Eagles,Round 1,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.8,99.98,5.63,97.76
Melbourne,Round 3,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.01,97.04,6.92,98.95
Adelaide Crows,Round 4,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.83,93.9,11.09,102.81
North Melbourne,Round 5,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.85,91.41,-5.59,87.38
Richmond,Round 6,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.65,103.16,11.14,102.86
Sydney Swans,Round 7,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.16,91.12,-13.82,79.76
Brisbane Lions,Round 8,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.67,87.23,-3.5,89.31
Western Bulldogs,Round 9,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.94,90.42,5.63,97.76
Hawthorn,Round 10,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.27,85.93,-4.6,88.29
St Kilda,Round 11,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.97,87.82,-9.39,83.86
Fremantle,Round 12,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.86,89.62,-7.54,85.57
Geelong Cats,Round 13,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.58,99.74,17.57,108.81
GWS GIANTS,Round 15,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.08,91.19,-5.23,87.71
Melbourne,Round 16,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.01,97.04,6.92,98.95
Essendon,Round 17,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.52,90.8,-2.03,90.67
Collingwood,Round 18,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.99,94.05,9.0,100.88
Adelaide Crows,Round 19,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.83,93.9,11.09,102.81
Brisbane Lions,Round 20,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.67,87.23,-3.5,89.31
Richmond,Round 21,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.65,103.16,11.14,102.86
Carlton,Round 22,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.3,90.11,-17.68,76.19
GWS GIANTS,Round 23,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.08,91.19,-5.23,87.71
Port Adelaide,Round 24,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.06,85.3,-4.97,87.95
