,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Sydney Swans,Opening Round,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.21,74.68,-11.14,67.24
Essendon,Round 1,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.5,74.47,-5.79,71.29
Carlton,Round 2,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.96,74.14,13.27,85.71
GWS GIANTS,Round 3,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.56,74.43,-6.61,70.67
Port Adelaide,Round 5,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.61,69.6,-9.57,68.43
Geelong Cats,Round 6,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.57,81.78,11.51,84.38
West Coast Eagles,Round 7,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-8.07,82.22,20.58,91.24
Richmond,Round 8,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.36,85.28,4.63,79.17
Melbourne,Round 9,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.18,79.72,-3.21,73.24
Gold Coast SUNS,Round 10,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.6,73.67,-27.63,54.76
Brisbane Lions,Round 11,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.84,71.42,6.29,80.43
Collingwood,Round 12,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.8,76.98,16.23,87.95
Western Bulldogs,Round 13,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.24,73.94,7.52,81.36
Adelaide Crows,Round 14,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.55,76.78,-6.04,71.1
North Melbourne,Round 16,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.42,75.28,13.33,85.76
St Kilda,Round 17,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.92,72.05,1.32,76.67
Fremantle,Round 18,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.68,73.62,-14.23,64.9
Port Adelaide,Round 19,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.61,69.6,-9.57,68.43
Carlton,Round 20,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.96,74.14,13.27,85.71
Adelaide Crows,Round 21,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.55,76.78,-6.04,71.1
Collingwood,Round 22,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.8,76.98,16.23,87.95
Melbourne,Round 23,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.18,79.72,-3.21,73.24
Brisbane Lions,Round 24,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.84,71.42,6.29,80.43
