,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Round 1,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.47,81.18,9.75,90.38
North Melbourne,Round 2,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.82,81.7,0.27,82.57
Gold Coast SUNS,Round 3,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.34,80.49,24.91,102.86
Geelong Cats,Round 4,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.91,89.44,13.98,93.86
Essendon,Round 5,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.86,80.86,-11.06,73.24
Fremantle,Round 6,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.69,80.21,2.76,84.62
Richmond,Round 7,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.74,92.28,-1.76,80.9
West Coast Eagles,Round 8,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.75,89.29,14.38,94.19
Hawthorn,Round 9,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.89,77.06,12.18,92.38
Brisbane Lions,Round 10,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.54,78.04,-8.52,75.33
Sydney Swans,Round 11,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.21,81.38,14.21,94.05
St Kilda,Round 12,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.02,78.44,16.34,95.81
Collingwood,Round 13,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.69,83.79,-4.3,78.81
Port Adelaide,Round 14,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.68,76.5,-9.3,74.69
Gold Coast SUNS,Round 16,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.34,80.49,24.91,102.86
Adelaide Crows,Round 17,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.04,84.08,9.87,90.48
North Melbourne,Round 18,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.82,81.7,0.27,82.57
Carlton,Round 19,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.92,80.82,36.47,112.38
St Kilda,Round 20,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.02,78.44,16.34,95.81
West Coast Eagles,Round 21,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.75,89.29,14.38,94.19
Western Bulldogs,Round 22,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.21,80.59,6.31,87.55
Hawthorn,Round 23,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.89,77.06,12.18,92.38
Collingwood,Round 24,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.69,83.79,-4.3,78.81
