,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.05,79.61,-18.0,66.67
Melbourne,Round 2,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.44,85.92,0.1,81.38
Adelaide Crows,Round 3,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.44,82.43,-3.38,78.55
Sydney Swans,Round 4,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.05,80.4,7.1,87.07
Gold Coast SUNS,Round 5,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.58,79.19,-6.69,75.86
Carlton,Round 6,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.18,79.5,-13.03,70.71
Port Adelaide,Round 7,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.92,74.59,-5.29,77.0
Essendon,Round 8,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.27,80.22,3.44,84.1
Brisbane Lions,Round 9,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.76,76.81,-16.59,67.81
Richmond,Round 10,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.34,91.63,17.38,95.43
Collingwood,Round 11,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.94,82.85,3.68,84.29
West Coast Eagles,Round 13,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.99,88.29,9.07,88.67
Fremantle,Round 14,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.74,79.07,7.13,87.1
Carlton,Round 15,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.18,79.5,-13.03,70.71
Hawthorn,Round 16,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.4,75.64,3.38,84.05
Western Bulldogs,Round 17,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.05,79.61,-18.0,66.67
Melbourne,Round 18,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.44,85.92,0.1,81.38
Sydney Swans,Round 19,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.05,80.4,7.1,87.07
Geelong Cats,Round 20,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.51,87.83,7.04,87.02
St Kilda,Round 21,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.96,77.4,-13.49,70.33
GWS GIANTS,Round 22,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.27,80.22,8.83,88.48
Richmond,Round 23,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.34,91.63,17.38,95.43
Adelaide Crows,Round 24,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.44,82.43,-3.38,78.55
