,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Round 1,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.86,94.78,-6.34,87.14
Richmond,Round 2,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.17,104.72,0.01,93.05
Essendon,Round 3,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.44,91.7,9.04,101.45
St Kilda,Round 4,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.98,88.6,-4.75,88.62
Hawthorn,Round 5,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.35,86.65,2.31,95.19
Sydney Swans,Round 6,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.09,92.02,4.66,97.38
North Melbourne,Round 7,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.56,92.5,-6.34,87.14
Western Bulldogs,Round 8,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.18,91.04,6.61,99.19
Adelaide Crows,Round 9,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.87,94.79,-2.47,90.74
Geelong Cats,Round 10,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.47,100.53,19.66,111.33
Fremantle,Round 11,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.65,90.62,-4.4,88.95
GWS GIANTS,Round 13,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.62,91.53,-19.44,74.95
Melbourne,Round 14,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.2,98.12,4.41,97.14
Sydney Swans,Round 15,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.09,92.02,4.66,97.38
Carlton,Round 16,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.84,91.33,-5.62,87.81
Brisbane Lions,Round 17,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.82,87.91,9.37,101.76
West Coast Eagles,Round 18,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.85,100.95,3.33,96.14
Hawthorn,Round 19,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.35,86.65,2.31,95.19
Adelaide Crows,Round 20,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.87,94.79,-2.47,90.74
Geelong Cats,Round 21,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.47,100.53,19.66,111.33
Fremantle,Round 22,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.65,90.62,-4.4,88.95
Carlton,Round 23,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.84,91.33,-5.62,87.81
Gold Coast SUNS,Round 24,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.29,90.94,-12.02,81.86
