,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Carlton,Round 1,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.43,78.42,-5.41,76.02
Port Adelaide,Round 2,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.96,74.4,0.66,80.9
St Kilda,Round 3,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.99,76.5,-0.34,80.1
Brisbane Lions,Round 4,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.38,76.22,-13.91,69.19
Fremantle,Round 5,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.75,78.17,10.8,89.05
Gold Coast SUNS,Round 6,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.33,78.49,10.2,88.57
Melbourne,Round 7,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-5.06,84.6,-1.41,79.24
Hawthorn,Round 8,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.22,74.91,8.25,87.0
West Coast Eagles,Round 9,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.78,87.1,1.17,81.31
North Melbourne,Round 10,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.87,79.63,8.42,87.14
Essendon,Round 11,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.55,79.09,8.27,87.02
GWS GIANTS,Round 12,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,0.98,79.54,8.37,87.1
Sydney Swans,Round 13,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.2,79.37,20.57,96.9
Western Bulldogs,Round 15,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,1.88,78.83,-17.11,66.62
Adelaide Crows,Round 16,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.41,81.47,7.37,86.29
Geelong Cats,Round 17,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.57,86.9,5.7,84.95
Essendon,Round 18,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.55,79.09,8.27,87.02
West Coast Eagles,Round 19,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.78,87.1,1.17,81.31
Collingwood,Round 20,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-2.01,81.97,-1.17,79.43
Gold Coast SUNS,Round 21,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.33,78.49,10.2,88.57
St Kilda,Round 22,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.99,76.5,-0.34,80.1
North Melbourne,Round 23,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.87,79.63,8.42,87.14
Geelong Cats,Round 24,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.57,86.9,5.7,84.95
