,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.07,87.12,2.73,87.67
Geelong Cats,Round 2,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.93,92.67,-5.09,81.0
Richmond,Round 3,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.6,95.44,5.07,89.67
Port Adelaide,Round 4,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.38,79.46,-7.93,78.57
GWS GIANTS,Round 5,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.87,83.75,8.92,92.95
Western Bulldogs,Round 6,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.36,83.36,12.37,95.9
Brisbane Lions,Round 7,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,4.56,81.6,-15.1,72.45
Fremantle,Round 8,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.45,83.28,-8.01,78.5
Carlton,Round 9,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.73,83.87,2.39,87.38
West Coast Eagles,Round 10,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.46,92.2,19.08,101.62
Gold Coast SUNS,Round 11,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.15,83.52,-1.63,83.95
Melbourne,Round 12,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.36,89.21,14.49,97.71
Western Bulldogs,Round 14,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.36,83.36,12.37,95.9
Collingwood,Round 15,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.36,86.5,0.89,86.1
Fremantle,Round 16,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.45,83.28,-8.01,78.5
Hawthorn,Round 17,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.33,80.24,3.68,88.48
Sydney Swans,Round 18,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.02,84.46,1.36,86.5
Geelong Cats,Round 19,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.93,92.67,-5.09,81.0
Melbourne,Round 20,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.36,89.21,14.49,97.71
North Melbourne,Round 21,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.37,84.17,4.73,89.38
Richmond,Round 22,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.6,95.44,5.07,89.67
Essendon,Round 23,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.99,83.66,14.45,97.67
GWS GIANTS,Round 24,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.87,83.75,8.92,92.95
