,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Hawthorn,Opening Round,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.07,86.07,4.95,96.71
Brisbane Lions,Round 1,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,6.43,86.58,-8.64,84.19
Fremantle,Round 2,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.73,89.7,-5.64,86.95
North Melbourne,Round 4,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.1,92.06,-9.65,83.26
Collingwood,Round 5,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.51,93.56,16.38,107.24
Port Adelaide,Round 6,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.4,85.01,-13.13,80.05
Gold Coast SUNS,Round 7,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.16,90.2,-1.1,91.14
GWS GIANTS,Round 8,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.27,90.1,8.16,99.67
Essendon,Round 9,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.8,90.52,-13.5,79.71
Carlton,Round 10,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.25,91.01,17.76,108.52
Melbourne,Round 11,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.74,96.74,-3.06,89.33
Adelaide Crows,Round 12,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.65,94.66,-7.29,85.43
Richmond,Round 13,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-11.01,103.55,6.46,98.1
Port Adelaide,Round 15,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.4,85.01,-13.13,80.05
Western Bulldogs,Round 16,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.6,89.81,-2.56,89.79
Fremantle,Round 17,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.73,89.7,-5.64,86.95
St Kilda,Round 18,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.88,87.86,-5.15,87.4
North Melbourne,Round 19,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.1,92.06,-9.65,83.26
GWS GIANTS,Round 20,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.27,90.1,8.16,99.67
Essendon,Round 21,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.8,90.52,-13.5,79.71
Brisbane Lions,Round 22,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,6.43,86.58,-8.64,84.19
Geelong Cats,Round 23,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.8,99.95,2.83,94.76
West Coast Eagles,Round 24,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-8.08,100.25,8.16,99.67
