,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,3.1,73.63,-4.59,72.4
Brisbane Lions,Round 2,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,6.0,71.61,10.89,84.14
Fremantle,Round 3,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.75,73.88,1.41,76.95
GWS GIANTS,Round 4,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.02,75.14,-1.29,74.9
Carlton,Round 5,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.05,74.39,14.02,86.52
Essendon,Round 6,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,2.29,74.21,-4.18,72.71
Hawthorn,Round 7,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.51,71.27,-1.66,74.62
Melbourne,Round 8,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.65,79.62,7.56,81.62
Richmond,Round 9,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.68,84.98,22.34,92.83
St Kilda,Round 10,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.13,72.21,-1.66,74.62
Adelaide Crows,Round 11,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.14,77.57,2.16,77.52
Geelong Cats,Round 12,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.5,82.96,-6.66,70.83
North Melbourne,Round 13,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.76,75.34,0.59,76.33
Carlton,Round 14,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,2.05,74.39,14.02,86.52
Collingwood,Round 16,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.67,77.2,0.22,76.05
GWS GIANTS,Round 17,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.02,75.14,-1.29,74.9
Port Adelaide,Round 18,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.0,70.94,-7.88,69.9
Richmond,Round 19,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.68,84.98,22.34,92.83
Fremantle,Round 20,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.75,73.88,1.41,76.95
Melbourne,Round 21,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.65,79.62,7.56,81.62
Adelaide Crows,Round 22,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.14,77.57,2.16,77.52
Western Bulldogs,Round 23,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.4,74.13,9.95,83.43
Sydney Swans,Round 24,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.32,74.92,17.98,89.52
