,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.48,99.3,8.09,107.86
Collingwood,Round 2,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.71,101.5,5.08,104.86
Carlton,Round 3,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.87,97.94,-16.44,83.38
Fremantle,Round 4,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.86,97.0,0.21,100.0
Brisbane Lions,Round 5,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,6.01,94.12,-1.6,98.19
St Kilda,Round 6,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.92,95.1,12.14,111.9
GWS GIANTS,Round 7,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.51,98.28,-5.49,94.31
Port Adelaide,Round 8,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.5,92.81,-0.17,99.62
Gold Coast SUNS,Round 9,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.13,97.69,-5.99,93.81
Essendon,Round 10,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.94,97.87,-8.14,91.67
Geelong Cats,Round 11,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.94,108.38,16.38,116.14
Hawthorn,Round 13,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,7.01,93.24,-11.0,88.81
St Kilda,Round 14,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.92,95.1,12.14,111.9
Richmond,Round 15,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.57,111.56,28.08,127.81
Sydney Swans,Round 16,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.41,98.38,-5.49,94.31
North Melbourne,Round 17,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,0.48,99.3,8.09,107.86
Adelaide Crows,Round 18,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.27,102.09,6.12,105.9
Brisbane Lions,Round 19,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,6.01,94.12,-1.6,98.19
Essendon,Round 20,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.94,97.87,-8.14,91.67
GWS GIANTS,Round 21,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,1.51,98.28,-5.49,94.31
Melbourne,Round 22,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.58,104.56,0.19,99.98
West Coast Eagles,Round 23,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.94,108.37,1.02,100.81
Fremantle,Round 24,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.86,97.0,0.21,100.0
