playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Aaron Black,11.0,33.0,8.31,4.0,8.0,-52.78,4.0,12.0,9.41,2.0,8.0,-42.92,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,126.76,0.0,0.0,-100.0,15.0,-19.47,9.0,-20.13,5.0,-32.16,0.0,-100.0,4.0,16.69,4.0,40.7,3.0,-0.83,0.0,-100.0,66.7,-5.63,0.0,-100.0,0.0,-100.0,1.0,93.8,329.0,14.65,5.0,-4.4,2.0,74.67,2.0,-78.78,67.0,-0.0,-9.74,67.0
Adam Cerra,11.6,34.8,14.22,10.86,21.72,28.2,2.7,8.1,-26.15,4.28,17.12,22.15,1.03,1.03,12.45,0.73,-2.19,-14.22,0.64,3.84,45.12,0.47,0.47,27.72,22.47,20.63,14.63,29.83,7.94,7.73,0.14,-38.6,2.56,-25.32,3.51,23.46,3.33,10.08,0.21,-45.6,75.08,6.23,0.62,-57.71,0.52,25.6,0.76,47.29,328.29,14.4,5.82,11.28,1.38,20.52,18.39,95.16,84.88,-7.18,14.34,84.89
Adam Treloar,14.4,43.2,41.79,16.6,33.2,95.96,3.11,9.33,-14.93,4.79,19.16,36.7,1.03,1.03,12.45,0.99,-2.97,16.33,0.56,3.36,26.98,0.33,0.33,-10.33,31.0,66.43,19.07,69.23,11.54,56.58,0.09,-60.53,3.02,-11.9,5.79,103.66,4.6,52.07,0.16,-58.55,71.64,1.36,1.89,28.92,0.54,30.43,0.61,18.22,392.71,36.85,9.33,78.39,1.98,72.93,22.22,135.81,106.61,4.42,43.62,106.64
Alex Cincotta,4.0,12.0,-60.61,7.0,14.0,-17.37,2.0,6.0,-45.3,3.0,12.0,-14.38,0.5,0.5,-45.41,0.5,-1.5,-41.25,0.5,3.0,13.38,0.0,0.0,-100.0,11.0,-40.95,6.0,-46.76,6.5,-11.8,0.0,-100.0,2.0,-41.66,3.0,5.52,3.0,-0.83,0.0,-100.0,71.8,1.59,0.0,-100.0,0.0,-100.0,0.0,-100.0,130.0,-54.7,4.0,-23.52,0.0,-100.0,3.5,-62.86,46.0,-0.0,-38.03,46.0
Alex Neal-Bullen,8.29,24.87,-18.37,9.43,18.86,11.32,3.29,9.87,-10.01,6.43,25.72,83.5,1.14,1.14,24.45,2.14,-6.42,151.47,0.28,1.68,-36.51,0.28,0.28,-23.91,17.72,-4.87,11.0,-2.39,8.57,16.28,0.28,22.81,3.0,-12.49,1.14,-59.9,3.29,8.76,0.28,-27.46,67.46,-4.55,0.86,-41.34,0.0,-100.0,1.0,93.8,237.71,-17.17,7.0,33.84,1.43,24.89,1.57,-83.34,76.0,-4.2,2.38,76.0
Alex Sexton,19.0,57.0,87.08,13.0,26.0,53.46,10.0,30.0,173.52,3.0,12.0,-14.38,1.0,1.0,9.17,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,32.0,71.79,26.0,130.72,5.0,-32.16,0.0,-100.0,10.0,191.72,3.0,5.52,6.0,98.35,0.0,-100.0,81.3,15.03,7.0,377.49,1.0,141.55,0.0,-100.0,837.0,191.67,4.0,-23.52,4.0,249.34,0.0,-100.0,126.0,-0.0,69.74,126.0
Andrew Brayshaw,13.35,40.05,31.45,15.42,30.84,82.03,4.05,12.15,10.78,5.19,20.76,48.12,1.5,1.5,63.76,1.35,-4.05,58.64,0.34,2.04,-22.9,0.57,0.57,54.89,28.77,54.45,17.69,56.98,10.67,44.78,0.04,-82.46,4.0,16.69,5.24,84.31,3.68,21.65,0.42,8.81,71.36,0.96,1.5,2.32,0.52,25.6,0.56,8.53,359.66,25.33,7.27,39.01,1.51,31.88,19.44,106.3,103.85,-4.47,39.9,103.86
Andrew Gaff,12.26,36.78,20.72,8.49,16.98,0.22,3.09,9.27,-15.48,0.4,1.6,-88.58,0.97,0.97,5.9,0.14,-0.42,-83.55,0.86,5.16,95.01,0.02,0.02,-94.57,20.75,11.4,14.07,24.86,6.78,-8.01,0.0,-100.0,3.09,-9.86,1.11,-60.96,1.05,-65.29,0.07,-81.87,75.25,6.47,2.0,36.43,0.0,-100.0,0.06,-88.37,354.52,23.54,4.1,-21.61,0.92,-19.65,1.01,-89.28,70.38,-4.23,-5.19,70.36
Andrew McGrath,10.6,31.8,4.37,12.6,25.2,48.74,4.8,14.4,31.29,3.0,12.0,-14.38,1.2,1.2,31.0,0.2,-0.6,-76.5,0.0,0.0,-100.0,0.2,0.2,-45.65,23.2,24.55,15.0,33.11,8.8,19.4,0.0,-100.0,4.8,40.02,3.4,19.59,2.6,-14.05,0.4,3.63,83.52,18.17,2.0,36.43,0.2,-51.69,0.2,-61.24,300.8,4.82,5.8,10.9,0.8,-30.13,13.6,44.33,84.2,-0.0,13.43,84.2
Angus Brayshaw,13.61,40.83,34.01,15.15,30.3,78.85,3.47,10.41,-5.09,4.68,18.72,33.56,0.68,0.68,-25.76,0.11,-0.33,-87.07,0.0,0.0,-100.0,0.28,0.28,-23.91,28.75,54.35,16.82,49.26,12.07,63.77,0.15,-34.21,3.32,-3.15,5.53,94.51,5.14,69.92,0.15,-61.14,67.38,-4.67,1.68,14.6,0.5,20.77,0.18,-65.12,361.78,26.07,8.61,64.63,0.85,-25.76,19.93,111.5,100.86,-2.08,35.87,100.89
