opponent,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,12.21,36.63,4.99,10.6,21.2,-5.96,3.16,9.48,-9.38,5.18,20.72,14.45,1.25,1.25,10.04,1.3,-3.9,25.97,0.53,3.18,12.05,0.39,0.39,4.84,22.81,-0.4,12.07,-7.29,10.82,9.09,0.25,40.45,2.91,-12.03,5.21,12.87,4.04,3.06,0.35,4.79,67.94,-1.34,1.43,-4.16,0.54,-3.57,0.66,18.28,357.06,6.07,7.61,10.43,1.38,-0.07,16.82,0.68,89.15,0.09,2.06,88.95
Brisbane Lions,10.77,32.31,-7.39,10.81,21.62,-4.1,3.69,11.07,5.82,4.47,17.88,-1.24,0.84,0.84,-26.06,1.07,-3.21,3.68,0.3,1.8,-36.58,0.33,0.33,-11.29,21.57,-5.82,12.94,-0.61,8.79,-11.37,0.12,-32.58,3.57,7.92,4.2,-9.01,3.41,-13.01,0.39,16.77,67.9,-1.39,1.57,5.23,0.52,-7.14,0.65,16.49,316.13,-6.09,6.24,-9.45,1.09,-21.07,16.91,1.22,82.72,-5.31,-5.3,82.64
Carlton,11.41,34.23,-1.89,10.15,20.3,-9.95,3.52,10.56,0.95,4.78,19.12,5.61,1.03,1.03,-9.33,1.09,-3.27,5.62,0.53,3.18,12.05,0.38,0.38,2.15,21.56,-5.86,12.3,-5.52,9.32,-6.03,0.18,1.12,3.34,0.97,4.29,-7.06,3.91,-0.26,0.43,28.74,67.39,-2.13,1.48,-0.8,0.58,3.57,0.67,20.07,342.32,1.69,6.5,-5.67,1.29,-6.59,16.45,-1.53,85.57,0.15,-2.04,85.53
Collingwood,12.11,36.33,4.13,11.78,23.56,4.51,3.51,10.53,0.66,4.25,17.0,-6.1,1.2,1.2,5.63,1.02,-3.06,-1.16,0.46,2.76,-2.75,0.48,0.48,29.03,23.89,4.31,13.7,5.23,10.05,1.33,0.2,12.36,3.31,0.06,4.42,-4.25,3.98,1.53,0.28,-16.17,69.02,0.23,1.43,-4.16,0.5,-10.71,0.52,-6.81,341.13,1.34,7.21,4.63,1.38,-0.07,16.81,0.62,88.83,-4.67,1.69,88.8
Essendon,11.69,35.07,0.52,11.07,22.14,-1.79,3.75,11.25,7.54,4.01,16.04,-11.4,1.03,1.03,-9.33,1.01,-3.03,-2.13,0.49,2.94,3.59,0.3,0.3,-19.35,22.76,-0.62,13.13,0.85,9.75,-1.69,0.15,-15.73,3.6,8.83,4.41,-4.46,3.63,-7.4,0.26,-22.16,70.92,2.99,1.82,21.98,0.62,10.71,0.46,-17.56,335.97,-0.2,6.86,-0.45,1.61,16.58,16.44,-1.59,85.76,0.13,-1.82,85.74
Fremantle,11.31,33.93,-2.75,10.66,21.32,-5.43,3.57,10.71,2.38,4.47,17.88,-1.24,1.04,1.04,-8.45,0.98,-2.94,-5.04,0.43,2.58,-9.09,0.42,0.42,12.9,21.97,-4.07,12.55,-3.6,9.26,-6.63,0.19,6.74,3.37,1.87,4.27,-7.5,3.57,-8.93,0.35,4.79,69.21,0.51,1.43,-4.16,0.54,-3.57,0.64,14.7,318.86,-5.28,6.45,-6.4,1.47,6.44,16.22,-2.91,84.97,-2.12,-2.73,84.94
GWS GIANTS,11.7,35.1,0.6,12.0,24.0,6.46,3.09,9.27,-11.39,4.1,16.4,-9.41,1.29,1.29,13.56,0.88,-2.64,-14.73,0.37,2.22,-21.78,0.4,0.4,7.53,23.7,3.48,13.19,1.31,10.64,7.28,0.12,-32.58,2.97,-10.22,5.14,11.35,4.2,7.14,0.18,-46.11,69.72,1.25,1.61,7.91,0.45,-19.64,0.46,-17.56,344.05,2.2,7.33,6.37,1.5,8.62,17.87,6.97,86.17,-2.35,-1.35,86.04
Geelong Cats,12.5,37.5,7.48,12.17,24.34,7.97,3.29,9.87,-5.65,5.35,21.4,18.21,1.31,1.31,15.32,1.01,-3.03,-2.13,0.49,2.94,3.59,0.31,0.31,-16.67,24.67,7.72,13.79,5.92,10.65,7.38,0.17,-4.49,3.12,-5.68,5.45,18.07,4.04,3.06,0.32,-4.19,68.66,-0.29,1.75,17.29,0.54,-3.57,0.71,27.24,363.26,7.91,6.92,0.42,1.42,2.82,18.25,9.24,94.7,4.71,8.41,94.64
Gold Coast SUNS,11.5,34.5,-1.12,11.05,22.1,-1.97,3.48,10.44,-0.2,4.54,18.16,0.31,1.01,1.01,-11.09,1.41,-4.23,36.63,0.48,2.88,1.48,0.4,0.4,7.53,22.55,-1.54,13.03,0.08,9.41,-5.12,0.1,-43.82,3.38,2.18,4.53,-1.86,3.98,1.53,0.33,-1.2,67.62,-1.8,1.52,1.88,0.4,-28.57,0.58,3.94,343.81,2.13,6.71,-2.63,1.43,3.55,16.62,-0.51,85.34,-2.6,-2.3,85.26
Hawthorn,10.43,31.29,-10.32,10.48,20.96,-7.03,3.16,9.48,-9.38,4.71,18.84,4.07,1.25,1.25,10.04,0.97,-2.91,-6.01,0.4,2.4,-15.43,0.26,0.26,-30.11,20.91,-8.7,11.77,-9.59,9.41,-5.12,0.15,-15.73,3.01,-9.01,4.23,-8.36,3.41,-13.01,0.32,-4.19,70.0,1.66,1.45,-2.82,0.5,-10.71,0.46,-17.56,305.54,-9.24,6.07,-11.91,1.11,-19.62,15.92,-4.7,81.7,-7.27,-6.47,81.57
