team.name,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,11.6,34.8,-0.25,11.43,22.86,1.4,3.57,10.71,2.38,5.15,20.6,13.79,1.15,1.15,1.14,1.05,-3.15,1.65,0.37,2.22,-21.44,0.35,0.35,-6.42,23.03,0.56,13.67,5.0,9.13,-7.95,0.26,45.25,3.31,0.03,3.63,-21.33,3.35,-14.52,0.33,-0.6,70.97,3.06,1.67,11.93,0.46,-17.86,0.58,3.94,312.76,-7.09,6.44,-6.54,1.23,-10.93,12.97,-22.36,89.55,-5.98,2.52,89.54
Brisbane Lions,12.24,36.72,5.25,12.09,24.18,7.26,4.67,14.01,33.93,4.27,17.08,-5.66,1.26,1.26,10.82,0.87,-2.61,-15.78,0.55,3.3,16.77,0.37,0.37,-1.07,24.33,6.24,13.59,4.39,10.77,8.59,0.35,95.53,4.33,30.86,5.03,9.02,3.95,0.79,0.4,20.48,71.58,3.95,1.17,-21.58,0.64,14.29,0.87,55.91,316.43,-6.0,7.8,13.19,1.66,20.2,17.59,5.29,94.37,4.88,8.03,94.31
Carlton,11.48,34.44,-1.28,14.02,28.04,24.38,2.99,8.97,-14.25,5.37,21.48,18.65,1.32,1.32,16.09,1.29,-3.87,24.88,0.44,2.64,-6.58,0.32,0.32,-14.44,25.51,11.39,13.89,6.69,11.67,17.66,0.15,-16.2,2.84,-14.17,5.55,20.29,4.26,8.7,0.23,-30.72,68.9,0.06,1.15,-22.92,0.52,-7.14,0.52,-6.81,327.57,-2.69,7.76,12.61,1.47,6.44,19.43,16.31,93.69,-0.5,7.25,93.34
Collingwood,11.44,34.32,-1.63,10.26,20.52,-8.98,3.09,9.27,-11.39,4.39,17.56,-3.0,1.07,1.07,-5.89,1.12,-3.36,8.42,0.51,3.06,8.28,0.4,0.4,6.95,21.69,-5.29,12.04,-7.52,9.31,-6.13,0.1,-44.13,2.99,-9.64,4.62,0.13,3.76,-4.06,0.37,11.45,63.21,-8.21,1.31,-12.2,0.54,-3.57,0.53,-5.02,339.75,0.93,6.32,-8.29,1.23,-10.93,16.98,1.64,82.87,-1.63,-5.13,82.84
Essendon,12.28,36.84,5.6,11.51,23.02,2.11,4.17,12.51,19.59,4.87,19.48,7.6,1.18,1.18,3.78,0.8,-2.4,-22.56,0.43,2.58,-8.7,0.45,0.45,20.32,23.79,3.88,14.91,14.52,9.07,-8.55,0.22,22.91,3.95,19.37,4.06,-12.01,4.23,7.94,0.31,-6.63,70.78,2.79,1.44,-3.49,0.53,-5.36,0.62,11.11,354.7,5.37,6.13,-11.04,1.42,2.82,16.6,-0.63,93.99,1.38,7.6,93.66
Fremantle,12.12,36.36,4.22,14.1,28.2,25.09,3.29,9.87,-5.65,4.75,19.0,4.95,1.21,1.21,6.42,1.01,-3.03,-2.23,0.41,2.46,-12.95,0.42,0.42,12.3,26.22,14.49,15.02,15.37,11.25,13.43,0.12,-32.96,3.17,-4.2,5.9,27.87,4.1,4.62,0.3,-9.64,70.89,2.95,1.54,3.22,0.58,3.57,0.52,-6.81,346.71,2.99,7.8,13.19,1.58,14.41,18.53,10.92,94.59,-0.14,8.28,94.49
GWS GIANTS,11.74,35.22,0.95,12.74,25.48,13.02,3.05,9.15,-12.53,4.28,17.12,-5.44,0.73,0.73,-35.8,0.98,-2.94,-5.13,0.42,2.52,-10.83,0.25,0.25,-33.16,24.48,6.89,14.97,14.99,9.44,-4.82,0.05,-72.07,3.01,-9.04,4.2,-8.97,3.97,1.3,0.26,-21.69,70.15,1.87,1.87,25.34,0.53,-5.36,0.37,-33.69,365.46,8.56,7.01,1.73,1.17,-15.28,17.37,3.97,87.55,-2.16,0.23,87.53
Geelong Cats,11.15,33.45,-4.12,8.13,16.26,-27.87,3.38,10.14,-3.07,4.3,17.2,-4.99,1.03,1.03,-9.41,1.13,-3.39,9.39,0.28,1.68,-40.55,0.28,0.28,-25.13,19.28,-15.82,10.08,-22.57,8.8,-11.27,0.31,73.18,3.07,-7.22,4.06,-12.01,3.65,-6.86,0.34,2.41,64.97,-5.65,1.74,16.62,0.36,-35.71,0.51,-8.6,338.08,0.43,6.27,-9.01,1.47,6.44,15.32,-8.3,77.3,-3.15,-11.51,76.65
Gold Coast SUNS,12.74,38.22,9.55,12.36,24.72,9.65,3.51,10.53,0.66,4.14,16.56,-8.53,1.38,1.38,21.37,0.79,-2.37,-23.52,0.47,2.82,-0.21,0.32,0.32,-14.44,25.1,9.6,14.37,10.38,10.84,9.3,0.07,-60.89,3.44,3.96,5.41,17.25,4.52,15.34,0.23,-30.72,70.41,2.25,1.93,29.36,0.65,16.07,0.46,-17.56,405.41,20.43,7.25,5.21,1.47,6.44,17.71,6.01,92.55,-0.38,5.95,92.18
Hawthorn,9.92,29.76,-14.7,9.68,19.36,-14.12,3.4,10.2,-2.49,3.73,14.92,-17.59,1.07,1.07,-5.89,1.08,-3.24,4.55,0.52,3.12,10.4,0.4,0.4,6.95,19.6,-14.42,11.63,-10.67,8.4,-15.31,0.25,39.66,3.16,-4.5,3.55,-23.06,3.68,-6.1,0.41,23.49,71.54,3.89,1.26,-15.55,0.73,30.36,0.55,-1.43,299.48,-11.04,5.63,-18.3,1.15,-16.73,11.74,-29.73,75.67,-1.21,-13.37,75.59
