,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-2.25,107.94,-9.94,95.0
Geelong Cats,Round 2,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.09,114.8,11.94,118.07
Richmond,Round 3,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.43,117.79,-3.57,101.71
Port Adelaide,Round 4,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,6.74,98.85,-3.97,101.29
GWS GIANTS,Round 5,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.5,102.94,14.31,120.57
Western Bulldogs,Round 6,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.68,102.76,-5.06,100.14
Brisbane Lions,Round 7,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,4.07,101.39,-18.74,85.71
Fremantle,Round 8,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.34,103.1,-15.35,89.29
Carlton,Round 9,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.38,104.07,-17.24,87.29
West Coast Eagles,Round 10,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.52,114.09,6.46,112.29
Gold Coast SUNS,Round 11,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,1.96,103.48,-10.61,94.29
Melbourne,Round 12,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-3.69,109.56,18.91,125.43
Western Bulldogs,Round 14,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.68,102.76,-5.06,100.14
Collingwood,Round 15,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-0.91,106.47,9.66,115.67
Fremantle,Round 16,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.34,103.1,-15.35,89.29
Hawthorn,Round 17,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,5.69,99.83,13.29,119.5
Sydney Swans,Round 18,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.14,104.32,2.32,107.93
Geelong Cats,Round 19,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.09,114.8,11.94,118.07
Melbourne,Round 20,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-3.69,109.56,18.91,125.43
North Melbourne,Round 21,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.36,104.1,-2.35,103.0
Richmond,Round 22,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.43,117.79,-3.57,101.71
Essendon,Round 23,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,2.34,103.1,11.87,118.0
GWS GIANTS,Round 24,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.5,102.94,14.31,120.57
