,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,5.25,99.35,10.95,116.0
Essendon,Round 2,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.92,102.59,16.05,121.33
North Melbourne,Round 3,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.39,103.13,30.08,136.0
Gold Coast SUNS,Round 4,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.09,102.42,-7.22,97.0
Geelong Cats,Round 5,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-8.01,113.67,11.91,117.0
GWS GIANTS,Round 6,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.63,101.88,6.81,111.67
Fremantle,Round 7,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.25,102.26,-4.35,100.0
Carlton,Round 8,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,0.85,103.68,-42.61,60.0
Port Adelaide,Round 9,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.28,96.57,26.9,132.67
Collingwood,Round 10,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.2,105.82,35.82,142.0
West Coast Eagles,Round 11,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.16,112.63,0.43,105.0
Sydney Swans,Round 12,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,0.68,103.85,-10.41,93.67
Brisbane Lions,Round 13,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,5.07,99.51,-27.62,75.67
Hawthorn,Round 14,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.59,98.1,-1.48,103.0
Richmond,Round 16,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.79,117.2,0.0,0.0
Melbourne,Round 17,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.6,109.6,2.34,107.0
Western Bulldogs,Round 18,0.34,-1.56,2.26,8.54,17.11,0.19,12.63,-9.27,2.65,101.86,7.44,112.33
Gold Coast SUNS,Round 19,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,2.09,102.42,-7.22,97.0
Port Adelaide,Round 20,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,8.28,96.57,26.9,132.67
Hawthorn,Round 21,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.59,98.1,-1.48,103.0
West Coast Eagles,Round 22,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.16,112.63,0.43,105.0
Collingwood,Round 23,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.2,105.82,35.82,142.0
North Melbourne,Round 24,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.39,103.13,30.08,136.0
