,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.44,105.32,2.88,110.0
Collingwood,Round 2,-3.97,-4.32,-0.66,6.5,-5.33,1.17,2.83,-22.5,-1.33,108.29,-13.8,92.17
Carlton,Round 3,1.93,11.05,-0.94,-5.31,10.29,-5.32,-10.75,-2.1,1.76,104.99,18.47,126.67
Fremantle,Round 4,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.4,104.34,9.12,116.67
Brisbane Lions,Round 5,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,4.1,102.63,5.69,113.0
St Kilda,Round 6,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.99,101.76,-16.13,89.67
GWS GIANTS,Round 7,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.03,104.71,-13.33,92.67
Port Adelaide,Round 8,13.13,0.91,35.69,-7.44,-2.07,-2.64,39.12,-13.49,7.33,99.54,-2.42,104.33
Gold Coast SUNS,Round 9,1.13,2.01,0.2,-0.31,12.47,-26.81,-1.46,-7.0,1.7,105.05,27.82,136.67
Essendon,Round 10,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.91,104.84,-3.36,103.33
Geelong Cats,Round 11,-6.96,-7.38,5.99,-15.4,-13.28,2.18,-3.47,20.0,-7.64,115.68,-15.82,90.0
Hawthorn,Round 13,11.51,7.56,10.35,-3.91,-9.12,6.39,18.25,43.08,6.24,100.57,5.06,112.33
St Kilda,Round 14,6.5,3.41,3.78,5.5,5.19,2.18,-3.47,20.0,4.99,101.76,-16.13,89.67
Richmond,Round 15,-10.19,-8.13,-21.81,-1.6,-0.35,24.33,-21.17,-7.0,-10.46,119.31,-12.08,94.0
Sydney Swans,Round 16,-1.11,4.66,-3.14,2.63,2.34,1.17,10.0,16.25,1.01,105.77,-26.74,78.33
North Melbourne,Round 17,3.28,0.11,1.66,3.34,-9.12,5.31,-22.46,-24.08,1.44,105.32,2.88,110.0
Adelaide Crows,Round 18,-4.75,6.34,10.35,-12.63,-9.12,-20.62,-10.75,-4.62,-1.96,108.97,6.15,113.5
Brisbane Lions,Round 19,7.98,4.28,-5.5,1.26,35.24,-3.55,57.68,12.73,4.1,102.63,5.69,113.0
Essendon,Round 20,-0.52,1.82,-7.01,12.87,10.29,2.18,-3.47,23.99,1.91,104.84,-3.36,103.33
GWS GIANTS,Round 21,-0.6,-6.07,12.85,10.39,-11.94,17.27,27.84,-7.0,2.03,104.71,-13.33,92.67
Melbourne,Round 22,-8.42,-3.74,-11.05,10.12,-1.22,17.27,-7.25,-2.1,-4.17,111.48,17.85,126.0
West Coast Eagles,Round 23,-5.06,-10.47,-8.0,-4.92,-14.59,0.19,-24.92,32.86,-7.4,115.38,-0.86,106.0
Fremantle,Round 24,2.83,5.74,-2.32,1.26,9.23,5.31,10.0,-11.43,2.4,104.34,9.12,116.67
