,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
St Kilda,Round 1,268.66,-4.23,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,10.87,297.86
Essendon,Round 2,268.66,-2.3,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,5.6,283.71
North Melbourne,Round 3,268.66,-0.79,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,17.49,315.64
Gold Coast SUNS,Round 4,268.66,-1.57,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,7.84,289.71
Geelong Cats,Round 5,268.66,8.5,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,11.4,299.29
GWS GIANTS,Round 6,268.66,-1.65,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,3.0,276.71
Fremantle,Round 7,268.66,-2.75,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-0.99,266.0
Carlton,Round 8,268.66,-1.43,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-3.17,260.14
Port Adelaide,Round 9,268.66,-6.98,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,7.94,290.0
Collingwood,Round 10,268.66,1.52,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-2.61,261.64
West Coast Eagles,Round 11,268.66,8.31,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-9.85,242.21
Sydney Swans,Round 12,268.66,-1.01,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,10.28,296.29
Brisbane Lions,Round 13,268.66,-5.07,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,6.13,285.14
Hawthorn,Round 14,268.66,-6.08,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-8.59,245.57
Richmond,Round 16,268.66,11.45,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-14.65,229.29
Melbourne,Round 17,268.66,4.35,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,2.62,275.71
Western Bulldogs,Round 18,268.66,-2.09,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.55,283.57
Gold Coast SUNS,Round 19,268.66,-1.57,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,7.84,289.71
Port Adelaide,Round 20,268.66,-6.98,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,7.94,290.0
Hawthorn,Round 21,268.66,-6.08,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-8.59,245.57
West Coast Eagles,Round 22,268.66,8.31,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-9.85,242.21
Collingwood,Round 23,268.66,1.52,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-2.61,261.64
North Melbourne,Round 24,268.66,-0.79,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,17.49,315.64
