,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Geelong Cats,Opening Round,283.13,7.42,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-9.68,255.71
Sydney Swans,Round 1,283.13,-0.92,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-6.2,265.57
West Coast Eagles,Round 2,283.13,8.66,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,10.9,314.0
Richmond,Round 4,283.13,12.27,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,2.58,290.43
Western Bulldogs,Round 5,283.13,-1.92,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-3.38,273.57
Collingwood,Round 6,283.13,1.76,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-5.39,267.86
St Kilda,Round 7,283.13,-4.04,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-14.12,243.14
Gold Coast SUNS,Round 8,283.13,-1.32,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,6.29,300.93
North Melbourne,Round 9,283.13,-0.43,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,10.0,311.43
Melbourne,Round 10,283.13,5.12,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-6.2,265.57
Hawthorn,Round 11,283.13,-6.79,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-3.43,273.43
Essendon,Round 12,283.13,-1.56,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,11.36,315.29
Adelaide Crows,Round 13,283.13,1.19,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-9.03,257.57
GWS GIANTS,Round 14,283.13,-1.89,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-10.82,252.5
Geelong Cats,Round 15,283.13,7.42,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-9.68,255.71
Port Adelaide,Round 17,283.13,-8.45,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,3.28,292.43
Carlton,Round 18,283.13,-1.59,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-0.95,280.43
Western Bulldogs,Round 19,283.13,-1.92,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-3.38,273.57
Gold Coast SUNS,Round 20,283.13,-1.32,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,6.29,300.93
Collingwood,Round 21,283.13,1.76,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-5.39,267.86
Sydney Swans,Round 22,283.13,-0.92,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-6.2,265.57
Fremantle,Round 23,283.13,-2.82,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,3.79,293.86
Hawthorn,Round 24,283.13,-6.79,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-3.43,273.43
