,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Richmond,Round 1,281.8,10.82,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,2.2,288.0
Hawthorn,Round 2,281.8,-6.23,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-4.65,268.71
Western Bulldogs,Round 3,281.8,-2.36,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-1.4,277.86
Collingwood,Round 4,281.8,1.33,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-3.15,272.93
West Coast Eagles,Round 5,281.8,8.34,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,15.58,325.71
North Melbourne,Round 6,281.8,-0.9,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-3.33,272.43
Geelong Cats,Round 7,281.8,8.55,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,6.56,300.29
Adelaide Crows,Round 8,281.8,1.31,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,9.43,308.36
St Kilda,Round 9,281.8,-4.42,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,21.31,341.86
Sydney Swans,Round 10,281.8,-1.65,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-9.61,254.71
GWS GIANTS,Round 11,281.8,-1.39,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-3.99,270.57
Essendon,Round 13,281.8,-2.86,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-30.24,196.57
West Coast Eagles,Round 14,281.8,8.34,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,15.58,325.71
North Melbourne,Round 15,281.8,-0.9,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-3.33,272.43
Port Adelaide,Round 16,281.8,-6.6,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-13.62,243.43
Collingwood,Round 17,281.8,1.33,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-3.15,272.93
Brisbane Lions,Round 18,281.8,-5.72,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-15.59,237.86
Melbourne,Round 19,281.8,3.85,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,18.27,333.29
Hawthorn,Round 20,281.8,-6.23,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-4.65,268.71
Fremantle,Round 21,281.8,-3.32,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-1.63,277.21
Gold Coast SUNS,Round 22,281.8,-2.18,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,1.03,284.71
Port Adelaide,Round 23,281.8,-6.6,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-13.62,243.43
Essendon,Round 24,281.8,-2.86,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-30.24,196.57
