,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,252.08,-1.6,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-3.49,243.29
Port Adelaide,Round 1,252.08,-7.59,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-10.18,226.43
Western Bulldogs,Round 2,252.08,-2.11,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,4.16,262.57
Carlton,Round 4,252.08,-1.44,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,1.16,255.0
Sydney Swans,Round 5,252.08,-1.07,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-12.38,220.86
Brisbane Lions,Round 6,252.08,-5.75,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-5.98,237.0
Essendon,Round 7,252.08,-2.09,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-0.94,249.71
Geelong Cats,Round 8,252.08,8.37,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-3.55,243.14
Fremantle,Round 9,252.08,-2.86,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,4.9,264.43
Adelaide Crows,Round 10,252.08,1.85,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,14.17,287.79
North Melbourne,Round 11,252.08,-0.4,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,5.3,265.43
Hawthorn,Round 12,252.08,-6.45,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-16.58,210.29
Melbourne,Round 13,252.08,4.85,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,17.65,296.57
St Kilda,Round 15,252.08,-4.19,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-17.09,209.0
West Coast Eagles,Round 16,252.08,8.58,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,29.89,327.43
Carlton,Round 17,252.08,-1.44,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,1.16,255.0
Gold Coast SUNS,Round 18,252.08,-1.78,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,10.17,277.71
Fremantle,Round 19,252.08,-2.86,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,4.9,264.43
Richmond,Round 20,252.08,11.91,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,10.06,277.43
Brisbane Lions,Round 21,252.08,-5.75,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-5.98,237.0
Hawthorn,Round 22,252.08,-6.45,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-16.58,210.29
Adelaide Crows,Round 23,252.08,1.85,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,14.17,287.79
Melbourne,Round 24,252.08,4.85,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,17.65,296.57
