,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,282.13,-1.55,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,6.54,300.57
Hawthorn,Round 1,282.13,-6.75,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,5.88,298.71
Adelaide Crows,Round 2,282.13,1.42,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,9.12,307.86
Port Adelaide,Round 3,282.13,-7.94,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-7.67,260.5
Melbourne,Round 5,282.13,4.26,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-1.36,278.29
West Coast Eagles,Round 6,282.13,7.93,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,7.6,303.57
Collingwood,Round 7,282.13,1.28,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,4.71,295.43
North Melbourne,Round 8,282.13,-1.0,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-3.79,271.43
Sydney Swans,Round 9,282.13,-1.25,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,2.69,289.71
Western Bulldogs,Round 10,282.13,-2.31,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-20.86,223.29
Richmond,Round 11,282.13,11.27,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-1.46,278.0
Brisbane Lions,Round 12,282.13,-5.36,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,1.09,285.21
Carlton,Round 13,282.13,-1.71,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-8.1,259.29
Geelong Cats,Round 14,282.13,7.56,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,5.63,298.0
Fremantle,Round 15,282.13,-3.05,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,6.08,299.29
Gold Coast SUNS,Round 17,282.13,-1.55,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,6.54,300.57
Richmond,Round 18,282.13,11.27,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-1.46,278.0
GWS GIANTS,Round 19,282.13,-2.21,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-14.02,242.57
Western Bulldogs,Round 20,282.13,-2.31,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-20.86,223.29
Sydney Swans,Round 21,282.13,-1.25,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,2.69,289.71
Geelong Cats,Round 22,282.13,7.56,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,5.63,298.0
St Kilda,Round 23,282.13,-4.5,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-11.99,248.29
Carlton,Round 24,282.13,-1.71,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-8.1,259.29
