,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Geelong Cats,Round 1,283.93,8.21,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-5.51,268.29
Sydney Swans,Round 2,283.93,-1.32,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-13.16,246.57
West Coast Eagles,Round 3,283.93,8.42,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-1.56,279.5
Western Bulldogs,Round 4,283.93,-1.93,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-2.04,278.14
Richmond,Round 5,283.93,11.14,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,15.77,328.71
Melbourne,Round 6,283.93,4.39,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,5.21,298.71
Adelaide Crows,Round 7,283.93,1.28,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-5.41,268.57
St Kilda,Round 8,283.93,-4.23,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-5.46,268.43
Collingwood,Round 9,283.93,1.75,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,5.66,300.0
GWS GIANTS,Round 10,283.93,-1.14,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,0.78,286.14
Port Adelaide,Round 11,283.93,-6.96,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-9.84,256.0
Gold Coast SUNS,Round 12,283.93,-1.68,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-9.18,257.86
North Melbourne,Round 14,283.93,-0.72,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,1.03,286.86
Essendon,Round 15,283.93,-2.32,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-0.18,283.43
St Kilda,Round 16,283.93,-4.23,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-5.46,268.43
Sydney Swans,Round 17,283.93,-1.32,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-13.16,246.57
Hawthorn,Round 18,283.93,-6.49,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,2.54,291.14
Collingwood,Round 19,283.93,1.75,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,5.66,300.0
West Coast Eagles,Round 20,283.93,8.42,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,-1.56,279.5
Carlton,Round 21,283.93,-2.13,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-6.19,266.36
Port Adelaide,Round 22,283.93,-6.96,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-9.84,256.0
Brisbane Lions,Round 23,283.93,-5.44,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,20.76,342.86
Western Bulldogs,Round 24,283.93,-1.93,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-2.04,278.14
