,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Collingwood,Opening Round,263.01,1.87,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,15.26,303.14
Melbourne,Round 1,263.01,4.74,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,13.85,299.43
Hawthorn,Round 3,263.01,-6.55,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-10.54,235.29
West Coast Eagles,Round 4,263.01,8.59,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,12.6,296.14
St Kilda,Round 5,263.01,-4.1,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-1.36,259.43
Adelaide Crows,Round 6,263.01,1.39,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-0.71,261.14
Western Bulldogs,Round 7,263.01,-1.77,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.84,278.36
Sydney Swans,Round 8,263.01,-1.13,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,2.87,270.57
Geelong Cats,Round 9,263.01,8.28,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-17.0,218.29
Fremantle,Round 10,263.01,-3.02,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,1.44,266.79
Carlton,Round 11,263.01,-1.95,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,3.96,273.43
Richmond,Round 12,263.01,11.49,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,2.39,269.29
Port Adelaide,Round 13,263.01,-7.21,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-8.91,239.57
Brisbane Lions,Round 14,263.01,-5.39,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,8.17,284.5
Gold Coast SUNS,Round 15,263.01,-1.57,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,2.44,269.43
West Coast Eagles,Round 17,263.01,8.59,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,12.6,296.14
Geelong Cats,Round 18,263.01,8.28,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-17.0,218.29
Essendon,Round 19,263.01,-2.03,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-10.92,234.29
Sydney Swans,Round 20,263.01,-1.13,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,2.87,270.57
Western Bulldogs,Round 21,263.01,-1.77,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.84,278.36
North Melbourne,Round 22,263.01,-0.65,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,16.35,306.0
Gold Coast SUNS,Round 23,263.01,-1.57,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,2.44,269.43
St Kilda,Round 24,263.01,-4.1,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-1.36,259.43
