,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,232.88,-5.92,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,4.41,243.14
Fremantle,Round 1,232.88,-3.39,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-4.43,222.57
St Kilda,Round 2,232.88,-5.23,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-4.92,221.43
Melbourne,Round 4,232.88,4.07,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,5.45,245.57
Adelaide Crows,Round 5,232.88,0.97,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,0.97,235.14
Hawthorn,Round 6,232.88,-7.11,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-9.15,211.57
Carlton,Round 7,232.88,-2.11,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,1.83,237.14
Collingwood,Round 8,232.88,0.72,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,5.88,246.57
GWS GIANTS,Round 9,232.88,-2.6,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,2.93,239.71
Port Adelaide,Round 10,232.88,-8.63,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-5.87,219.21
Western Bulldogs,Round 11,232.88,-2.96,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.51,245.71
West Coast Eagles,Round 12,232.88,7.11,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,5.91,246.64
Gold Coast SUNS,Round 13,232.88,-2.72,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-6.02,218.86
Essendon,Round 14,232.88,-2.85,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,11.16,258.86
Brisbane Lions,Round 15,232.88,-5.92,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,4.41,243.14
Richmond,Round 17,232.88,11.12,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,22.87,286.14
GWS GIANTS,Round 18,232.88,-2.6,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,2.93,239.71
St Kilda,Round 19,232.88,-5.23,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-4.92,221.43
North Melbourne,Round 20,232.88,-1.88,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,5.36,245.36
Port Adelaide,Round 21,232.88,-8.63,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-5.87,219.21
Essendon,Round 22,232.88,-2.85,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,11.16,258.86
Sydney Swans,Round 23,232.88,-1.53,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-5.35,220.43
Richmond,Round 24,232.88,11.12,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,22.87,286.14
