,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Essendon,Opening Round,277.64,-2.21,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-2.03,272.0
West Coast Eagles,Round 1,277.64,8.1,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,5.64,293.29
Melbourne,Round 3,277.64,4.51,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,6.92,296.86
Adelaide Crows,Round 4,277.64,1.14,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,11.09,308.43
North Melbourne,Round 5,277.64,-0.92,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-5.58,262.14
Richmond,Round 6,277.64,11.12,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,11.14,308.57
Sydney Swans,Round 7,277.64,-1.39,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-13.81,239.29
Brisbane Lions,Round 8,277.64,-5.91,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-3.5,267.93
Western Bulldogs,Round 9,277.64,-2.21,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.64,293.29
Hawthorn,Round 10,277.64,-7.09,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-4.6,264.86
St Kilda,Round 11,277.64,-4.5,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-9.39,251.57
Fremantle,Round 12,277.64,-3.39,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-7.54,256.71
Geelong Cats,Round 13,277.64,7.48,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,17.57,326.43
GWS GIANTS,Round 15,277.64,-1.69,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-5.22,263.14
Melbourne,Round 16,277.64,4.51,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,6.92,296.86
Essendon,Round 17,277.64,-2.21,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-2.03,272.0
Collingwood,Round 18,277.64,1.53,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,9.0,302.64
Adelaide Crows,Round 19,277.64,1.14,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,11.09,308.43
Brisbane Lions,Round 20,277.64,-5.91,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-3.5,267.93
Richmond,Round 21,277.64,11.12,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,11.14,308.57
Carlton,Round 22,277.64,-2.23,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-17.67,228.57
GWS GIANTS,Round 23,277.64,-1.69,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-5.22,263.14
Port Adelaide,Round 24,277.64,-8.1,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-4.96,263.86
