,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Sydney Swans,Opening Round,229.41,-1.18,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-12.07,201.71
Essendon,Round 1,229.41,-1.91,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-6.78,213.86
Carlton,Round 2,229.41,-1.68,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,12.09,257.14
GWS GIANTS,Round 3,229.41,-1.86,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-7.59,212.0
Port Adelaide,Round 5,229.41,-8.32,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-10.51,205.29
Geelong Cats,Round 6,229.41,7.75,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,10.34,253.14
West Coast Eagles,Round 7,229.41,8.67,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,19.31,273.71
Richmond,Round 8,229.41,12.35,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,3.53,237.5
Melbourne,Round 9,229.41,5.04,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-4.23,219.71
Gold Coast SUNS,Round 10,229.41,-1.97,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-28.39,164.29
Brisbane Lions,Round 11,229.41,-5.77,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,5.18,241.29
Collingwood,Round 12,229.41,1.63,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,15.02,263.86
Western Bulldogs,Round 13,229.41,-2.2,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,6.39,244.07
Adelaide Crows,Round 14,229.41,1.14,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-7.03,213.29
North Melbourne,Round 16,229.41,-0.37,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,12.15,257.29
St Kilda,Round 17,229.41,-4.21,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,0.26,230.0
Fremantle,Round 18,229.41,-2.94,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-15.13,194.71
Port Adelaide,Round 19,229.41,-8.32,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-10.51,205.29
Carlton,Round 20,229.41,-1.68,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,12.09,257.14
Adelaide Crows,Round 21,229.41,1.14,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-7.03,213.29
Collingwood,Round 22,229.41,1.63,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,15.02,263.86
Melbourne,Round 23,229.41,5.04,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-4.23,219.71
Brisbane Lions,Round 24,229.41,-5.77,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,5.18,241.29
