,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
GWS GIANTS,Round 1,248.47,-1.6,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,9.12,271.14
North Melbourne,Round 2,248.47,-0.59,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-0.31,247.71
Gold Coast SUNS,Round 3,248.47,-1.69,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,24.19,308.57
Geelong Cats,Round 4,248.47,8.34,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,13.32,281.57
Essendon,Round 5,248.47,-2.14,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-11.57,219.71
Fremantle,Round 6,248.47,-2.83,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,2.17,253.86
Richmond,Round 7,248.47,11.74,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,-2.32,242.71
West Coast Eagles,Round 8,248.47,8.46,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,13.72,282.57
Hawthorn,Round 9,248.47,-6.37,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,11.54,277.14
Brisbane Lions,Round 10,248.47,-5.44,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-9.04,226.0
Sydney Swans,Round 11,248.47,-1.06,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,13.55,282.14
St Kilda,Round 12,248.47,-4.21,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,15.68,287.43
Collingwood,Round 13,248.47,1.65,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-4.85,236.43
Port Adelaide,Round 14,248.47,-7.4,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-9.82,224.07
Gold Coast SUNS,Round 16,248.47,-1.69,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,24.19,308.57
Adelaide Crows,Round 17,248.47,1.74,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,9.24,271.43
North Melbourne,Round 18,248.47,-0.59,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-0.31,247.71
Carlton,Round 19,248.47,-1.51,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,35.69,337.14
St Kilda,Round 20,248.47,-4.21,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,15.68,287.43
West Coast Eagles,Round 21,248.47,8.46,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,13.72,282.57
Western Bulldogs,Round 22,248.47,-2.06,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,5.7,262.64
Hawthorn,Round 23,248.47,-6.37,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,11.54,277.14
Collingwood,Round 24,248.47,1.65,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-4.85,236.43
