,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Western Bulldogs,Round 1,245.13,-1.94,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-18.41,200.0
Melbourne,Round 2,245.13,5.39,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-0.4,244.14
Adelaide Crows,Round 3,245.13,1.15,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-3.87,235.64
Sydney Swans,Round 4,245.13,-0.91,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,6.56,261.21
Gold Coast SUNS,Round 5,245.13,-1.81,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-7.16,227.57
Carlton,Round 6,245.13,-1.79,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-13.46,212.14
Port Adelaide,Round 7,245.13,-8.44,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-5.76,231.0
Essendon,Round 8,245.13,-1.6,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,2.92,252.29
Brisbane Lions,Round 9,245.13,-5.62,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-17.01,203.43
Richmond,Round 10,245.13,12.39,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,16.79,286.29
Collingwood,Round 11,245.13,1.87,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,3.15,252.86
West Coast Eagles,Round 13,245.13,8.71,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,8.51,266.0
Fremantle,Round 14,245.13,-2.92,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,6.59,261.29
Carlton,Round 15,245.13,-1.79,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-13.46,212.14
Hawthorn,Round 16,245.13,-6.82,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,2.86,252.14
Western Bulldogs,Round 17,245.13,-1.94,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-18.41,200.0
Melbourne,Round 18,245.13,5.39,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-0.4,244.14
Sydney Swans,Round 19,245.13,-0.91,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,6.56,261.21
Geelong Cats,Round 20,245.13,7.81,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,6.5,261.07
St Kilda,Round 21,245.13,-4.13,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-13.92,211.0
GWS GIANTS,Round 22,245.13,-1.49,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.28,265.43
Richmond,Round 23,245.13,12.39,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,16.79,286.29
Adelaide Crows,Round 24,245.13,1.15,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-3.87,235.64
