,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Collingwood,Round 1,279.11,1.81,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-6.33,261.43
Richmond,Round 2,279.11,12.25,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,0.01,279.14
Essendon,Round 3,279.11,-1.73,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,9.05,304.36
St Kilda,Round 4,279.11,-4.14,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-4.75,265.86
Hawthorn,Round 5,279.11,-6.75,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,2.31,285.57
Sydney Swans,Round 6,279.11,-0.93,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,4.67,292.14
North Melbourne,Round 7,279.11,-0.3,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-6.33,261.43
Western Bulldogs,Round 8,279.11,-2.01,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,6.61,297.57
Adelaide Crows,Round 9,279.11,1.64,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-2.47,272.21
Geelong Cats,Round 10,279.11,7.8,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,19.67,334.0
Fremantle,Round 11,279.11,-2.79,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-4.39,266.86
GWS GIANTS,Round 13,279.11,-1.81,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-19.44,224.86
Melbourne,Round 14,279.11,5.17,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,4.41,291.43
Sydney Swans,Round 15,279.11,-0.93,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,4.67,292.14
Carlton,Round 16,279.11,-1.4,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-5.62,263.43
Brisbane Lions,Round 17,279.11,-5.65,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,9.38,305.29
West Coast Eagles,Round 18,279.11,8.59,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,3.34,288.43
Hawthorn,Round 19,279.11,-6.75,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,2.31,285.57
Adelaide Crows,Round 20,279.11,1.64,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-2.47,272.21
Geelong Cats,Round 21,279.11,7.8,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,19.67,334.0
Fremantle,Round 22,279.11,-2.79,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-4.39,266.86
Carlton,Round 23,279.11,-1.4,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-5.62,263.43
Gold Coast SUNS,Round 24,279.11,-1.53,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-12.02,245.57
