,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Carlton,Round 1,241.9,-1.97,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-5.72,228.07
Port Adelaide,Round 2,241.9,-7.68,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,0.33,242.71
St Kilda,Round 3,241.9,-4.15,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-0.67,240.29
Brisbane Lions,Round 4,241.9,-5.29,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-14.19,207.57
Fremantle,Round 5,241.9,-2.92,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,10.43,267.14
Gold Coast SUNS,Round 6,241.9,-1.6,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,9.84,265.71
Melbourne,Round 7,241.9,4.98,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-1.73,237.71
Hawthorn,Round 8,241.9,-6.7,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,7.9,261.0
West Coast Eagles,Round 9,241.9,8.49,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,0.84,243.93
North Melbourne,Round 10,241.9,-0.61,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,8.07,261.43
Essendon,Round 11,241.9,-1.86,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,7.92,261.07
GWS GIANTS,Round 12,241.9,-1.21,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.02,261.29
Sydney Swans,Round 13,241.9,-1.04,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,20.18,290.71
Western Bulldogs,Round 15,241.9,-1.77,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-17.38,199.86
Adelaide Crows,Round 16,241.9,1.11,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,7.01,258.86
Geelong Cats,Round 17,241.9,7.87,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,5.36,254.86
Essendon,Round 18,241.9,-1.86,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,7.92,261.07
West Coast Eagles,Round 19,241.9,8.49,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,0.84,243.93
Collingwood,Round 20,241.9,1.95,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-1.49,238.29
Gold Coast SUNS,Round 21,241.9,-1.6,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,9.84,265.71
St Kilda,Round 22,241.9,-4.15,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-0.67,240.29
North Melbourne,Round 23,241.9,-0.61,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,8.07,261.43
Geelong Cats,Round 24,241.9,7.87,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,5.36,254.86
