,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Adelaide Crows,Round 1,256.18,1.83,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,2.66,263.0
Geelong Cats,Round 2,256.18,8.36,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-5.14,243.0
Richmond,Round 3,256.18,11.54,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,5.0,269.0
Port Adelaide,Round 4,256.18,-7.12,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-7.99,235.71
GWS GIANTS,Round 5,256.18,-2.02,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.85,278.86
Western Bulldogs,Round 6,256.18,-2.13,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,12.31,287.71
Brisbane Lions,Round 7,256.18,-4.52,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-15.15,217.36
Fremantle,Round 8,256.18,-2.57,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-8.07,235.5
Carlton,Round 9,256.18,-1.23,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,2.33,262.14
West Coast Eagles,Round 10,256.18,8.15,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,19.0,304.86
Gold Coast SUNS,Round 11,256.18,-1.41,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-1.69,251.86
Melbourne,Round 12,256.18,4.23,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,14.43,293.14
Western Bulldogs,Round 14,256.18,-2.13,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,12.31,287.71
Collingwood,Round 15,256.18,1.31,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,0.82,258.29
Fremantle,Round 16,256.18,-2.57,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-8.07,235.5
Hawthorn,Round 17,256.18,-5.91,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,3.61,265.43
Sydney Swans,Round 18,256.18,-0.85,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,1.3,259.5
Geelong Cats,Round 19,256.18,8.36,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-5.14,243.0
Melbourne,Round 20,256.18,4.23,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,14.43,293.14
North Melbourne,Round 21,256.18,-1.08,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,4.67,268.14
Richmond,Round 22,256.18,11.54,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,5.0,269.0
Essendon,Round 23,256.18,-2.24,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,14.37,293.0
GWS GIANTS,Round 24,256.18,-2.02,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.85,278.86
