,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Hawthorn,Opening Round,276.47,-6.46,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,4.94,290.14
Brisbane Lions,Round 1,276.47,-6.17,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-8.64,252.57
Fremantle,Round 2,276.47,-2.83,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-5.65,260.86
North Melbourne,Round 4,276.47,0.14,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-9.65,249.79
Collingwood,Round 5,276.47,1.46,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,16.36,321.71
Port Adelaide,Round 6,276.47,-7.99,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-13.14,240.14
Gold Coast SUNS,Round 7,276.47,-1.43,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-1.1,273.43
GWS GIANTS,Round 8,276.47,-2.42,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.15,299.0
Essendon,Round 9,276.47,-2.07,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-13.5,239.14
Carlton,Round 10,276.47,-0.82,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,17.76,325.57
Melbourne,Round 11,276.47,4.7,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-3.06,268.0
Adelaide Crows,Round 12,276.47,2.47,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,-7.3,256.29
Richmond,Round 13,276.47,12.04,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,6.45,294.29
Port Adelaide,Round 15,276.47,-7.99,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-13.14,240.14
Western Bulldogs,Round 16,276.47,-2.4,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,-2.57,269.36
Fremantle,Round 17,276.47,-2.83,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-5.65,260.86
St Kilda,Round 18,276.47,-4.08,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-5.16,262.21
North Melbourne,Round 19,276.47,0.14,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-9.65,249.79
GWS GIANTS,Round 20,276.47,-2.42,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,8.15,299.0
Essendon,Round 21,276.47,-2.07,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-13.5,239.14
Brisbane Lions,Round 22,276.47,-6.17,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-8.64,252.57
Geelong Cats,Round 23,276.47,8.2,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,2.83,284.29
West Coast Eagles,Round 24,276.47,8.83,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,8.15,299.0
