,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,229.89,-2.32,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-5.52,217.21
Brisbane Lions,Round 2,229.89,-5.79,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,9.8,252.43
Fremantle,Round 3,229.89,-2.87,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,0.42,230.86
GWS GIANTS,Round 4,229.89,-1.19,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-2.25,224.71
Carlton,Round 5,229.89,-1.62,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,12.91,259.57
Essendon,Round 6,229.89,-2.53,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-5.11,218.14
Hawthorn,Round 7,229.89,-6.02,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-2.62,223.86
Melbourne,Round 8,229.89,4.57,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,6.51,244.86
Richmond,Round 9,229.89,11.63,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,21.14,278.5
St Kilda,Round 10,229.89,-4.33,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,-2.62,223.86
Adelaide Crows,Round 11,229.89,1.88,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,1.17,232.57
Geelong Cats,Round 12,229.89,9.01,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,-7.56,212.5
North Melbourne,Round 13,229.89,-0.61,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,-0.39,229.0
Carlton,Round 14,229.89,-1.62,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,12.91,259.57
Collingwood,Round 16,229.89,1.65,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,-0.76,228.14
GWS GIANTS,Round 17,229.89,-1.19,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-2.25,224.71
Port Adelaide,Round 18,229.89,-6.81,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-8.78,209.71
Richmond,Round 19,229.89,11.63,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,21.14,278.5
Fremantle,Round 20,229.89,-2.87,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,0.42,230.86
Melbourne,Round 21,229.89,4.57,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,6.51,244.86
Adelaide Crows,Round 22,229.89,1.88,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,1.17,232.57
Western Bulldogs,Round 23,229.89,-2.26,-1.38,-0.33,1.34,-7.28,-11.14,9.72,-14.39,1.18,8.87,250.29
Sydney Swans,Round 24,229.89,-1.17,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,16.83,268.57
