,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,L3Avg score,L3Avg value
North Melbourne,Round 1,300.33,-0.2,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,7.74,323.57
Collingwood,Round 2,300.33,1.66,0.24,3.96,4.55,-6.11,-2.68,27.56,5.83,-2.33,4.74,314.57
Carlton,Round 3,300.33,-1.39,1.1,-1.5,-9.46,6.6,11.42,5.26,-9.41,7.56,-16.71,250.14
Fremantle,Round 4,300.33,-2.96,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-0.11,300.0
Brisbane Lions,Round 5,300.33,-5.8,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-1.92,294.57
St Kilda,Round 6,300.33,-4.09,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,11.78,335.71
GWS GIANTS,Round 7,300.33,-1.7,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-5.79,282.93
Port Adelaide,Round 8,300.33,-7.2,-26.35,-11.89,-1.28,7.78,-28.07,15.08,1.73,1.82,-0.49,298.86
Gold Coast SUNS,Round 9,300.33,-1.43,0.91,-0.33,-1.54,0.58,2.26,6.16,-10.88,35.01,-6.29,281.43
Essendon,Round 10,300.33,-2.22,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-8.43,275.0
Geelong Cats,Round 11,300.33,8.38,-6.05,7.21,7.64,18.07,2.96,-16.15,14.92,-2.97,16.02,348.43
Hawthorn,Round 13,300.33,-6.42,-9.77,-10.27,-7.02,4.03,-13.26,-29.53,9.94,-7.44,-11.29,266.43
St Kilda,Round 14,300.33,-4.09,-2.72,-5.55,-2.07,-5.44,4.37,-16.15,-4.72,-1.37,11.78,335.71
Richmond,Round 15,300.33,11.48,27.58,10.98,8.44,1.39,26.23,7.94,-0.03,-20.52,27.67,383.43
Sydney Swans,Round 16,300.33,-1.25,3.57,1.36,-4.1,-2.73,-9.73,-13.47,-2.37,-0.73,-5.79,282.93
North Melbourne,Round 17,300.33,-0.2,-1.86,-2.36,0.46,-3.17,28.35,31.13,10.82,0.22,7.74,323.57
Adelaide Crows,Round 18,300.33,2.06,-9.67,4.58,-6.31,14.1,12.83,6.16,10.23,24.48,5.79,317.71
Brisbane Lions,Round 19,300.33,-5.8,5.57,-7.61,-4.31,-1.33,-35.83,-11.69,-25.83,3.1,-1.92,294.57
Essendon,Round 20,300.33,-2.22,7.19,0.21,-2.25,-11.54,2.96,-19.71,-9.12,-2.97,-8.43,275.0
GWS GIANTS,Round 21,300.33,-1.7,-11.48,0.33,6.11,-9.41,-22.43,7.94,13.16,-15.74,-5.79,282.93
Melbourne,Round 22,300.33,4.49,12.05,8.81,3.46,-9.48,8.6,2.59,1.44,-15.42,-0.13,299.93
West Coast Eagles,Round 23,300.33,8.68,9.1,5.41,12.15,4.92,32.58,-25.96,16.68,1.18,0.7,302.43
Fremantle,Round 24,300.33,-2.96,1.95,-3.01,-5.78,-1.04,-9.03,12.4,-8.24,-5.2,-0.11,300.0
